maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency
1,50,11,success,None,29/Jul/2026:09:40:35.996174,29/Jul/2026:09:40:36.941464,0.9453
1,50,77,success,None,29/Jul/2026:09:40:36.943853,29/Jul/2026:09:40:38.081462,1.1376
1,50,130,success,None,29/Jul/2026:09:40:38.084125,29/Jul/2026:09:40:38.923018,0.8389
1,50,189,success,None,29/Jul/2026:09:40:38.924800,29/Jul/2026:09:40:39.696170,0.7714
1,50,247,success,None,29/Jul/2026:09:40:39.698219,29/Jul/2026:09:40:40.657703,0.9595
1,50,314,success,None,29/Jul/2026:09:40:40.659478,29/Jul/2026:09:40:41.769915,1.1104
1,50,379,success,None,29/Jul/2026:09:40:41.771195,29/Jul/2026:09:40:41.771253,0.0001
1,50,432,success,None,29/Jul/2026:09:40:41.771259,29/Jul/2026:09:40:41.771276,0.0000
1,50,497,success,None,29/Jul/2026:09:40:41.771280,29/Jul/2026:09:40:41.771293,0.0000
1,50,548,success,None,29/Jul/2026:09:40:41.771297,29/Jul/2026:09:40:41.771308,0.0000
2,50,11,success,None,29/Jul/2026:09:40:41.798863,29/Jul/2026:09:40:42.749015,0.9501
2,50,77,success,None,29/Jul/2026:09:40:41.799075,29/Jul/2026:09:40:43.055565,1.2565
2,50,130,success,None,29/Jul/2026:09:40:42.751218,29/Jul/2026:09:40:43.525773,0.7746
2,50,189,success,None,29/Jul/2026:09:40:43.057794,29/Jul/2026:09:40:44.161592,1.1038
2,50,247,success,None,29/Jul/2026:09:40:43.528013,29/Jul/2026:09:40:44.235046,0.7070
2,50,379,success,None,29/Jul/2026:09:40:44.237568,29/Jul/2026:09:40:44.237619,0.0001
2,50,432,success,None,29/Jul/2026:09:40:44.237629,29/Jul/2026:09:40:44.237645,0.0000
2,50,497,success,None,29/Jul/2026:09:40:44.237649,29/Jul/2026:09:40:44.237662,0.0000
2,50,548,success,None,29/Jul/2026:09:40:44.237665,29/Jul/2026:09:40:44.237677,0.0000
2,50,314,success,None,29/Jul/2026:09:40:44.164598,29/Jul/2026:09:40:44.787592,0.6230
5,50,11,success,None,29/Jul/2026:09:40:44.798608,29/Jul/2026:09:40:45.846946,1.0483
5,50,130,success,None,29/Jul/2026:09:40:44.799025,29/Jul/2026:09:40:46.149665,1.3506
5,50,379,success,None,29/Jul/2026:09:40:46.153600,29/Jul/2026:09:40:46.153842,0.0002
5,50,432,success,None,29/Jul/2026:09:40:46.153863,29/Jul/2026:09:40:46.153902,0.0000
5,50,497,success,None,29/Jul/2026:09:40:46.153908,29/Jul/2026:09:40:46.153927,0.0000
5,50,548,success,None,29/Jul/2026:09:40:46.153933,29/Jul/2026:09:40:46.153947,0.0000
5,50,189,success,None,29/Jul/2026:09:40:44.799175,29/Jul/2026:09:40:46.456821,1.6576
5,50,77,success,None,29/Jul/2026:09:40:44.798829,29/Jul/2026:09:40:46.474397,1.6756
5,50,247,success,None,29/Jul/2026:09:40:44.799672,29/Jul/2026:09:40:46.544929,1.7453
5,50,314,success,None,29/Jul/2026:09:40:45.849031,29/Jul/2026:09:40:46.706295,0.8573
10,50,379,success,None,29/Jul/2026:09:40:46.719103,29/Jul/2026:09:40:46.719124,0.0000
10,50,432,success,None,29/Jul/2026:09:40:46.719326,29/Jul/2026:09:40:46.719345,0.0000
10,50,497,success,None,29/Jul/2026:09:40:46.719282,29/Jul/2026:09:40:46.719316,0.0000
10,50,548,success,None,29/Jul/2026:09:40:46.719626,29/Jul/2026:09:40:46.719649,0.0000
10,50,130,success,None,29/Jul/2026:09:40:46.718331,29/Jul/2026:09:40:48.133864,1.4155
10,50,11,success,None,29/Jul/2026:09:40:46.717853,29/Jul/2026:09:40:48.207537,1.4897
10,50,77,success,None,29/Jul/2026:09:40:46.718112,29/Jul/2026:09:40:48.269813,1.5517
10,50,189,success,None,29/Jul/2026:09:40:46.718514,29/Jul/2026:09:40:48.446185,1.7277
10,50,247,success,None,29/Jul/2026:09:40:46.718807,29/Jul/2026:09:40:48.492788,1.7740
10,50,314,success,None,29/Jul/2026:09:40:46.718945,29/Jul/2026:09:40:48.686073,1.9671
15,50,497,success,None,29/Jul/2026:09:40:48.700135,29/Jul/2026:09:40:48.700166,0.0000
15,50,432,success,None,29/Jul/2026:09:40:48.700302,29/Jul/2026:09:40:48.700338,0.0000
15,50,379,success,None,29/Jul/2026:09:40:48.699943,29/Jul/2026:09:40:48.699962,0.0000
15,50,548,success,None,29/Jul/2026:09:40:48.700434,29/Jul/2026:09:40:48.700458,0.0000
15,50,11,success,None,29/Jul/2026:09:40:48.698781,29/Jul/2026:09:40:50.106839,1.4081
15,50,130,success,None,29/Jul/2026:09:40:48.699158,29/Jul/2026:09:40:50.252738,1.5536
15,50,77,success,None,29/Jul/2026:09:40:48.698993,29/Jul/2026:09:40:50.345727,1.6467
15,50,189,success,None,29/Jul/2026:09:40:48.699333,29/Jul/2026:09:40:50.484964,1.7856
15,50,247,success,None,29/Jul/2026:09:40:48.699483,29/Jul/2026:09:40:50.549319,1.8498
15,50,314,success,None,29/Jul/2026:09:40:48.699633,29/Jul/2026:09:40:50.617599,1.9180
20,50,432,success,None,29/Jul/2026:09:40:50.632576,29/Jul/2026:09:40:50.632590,0.0000
20,50,497,success,None,29/Jul/2026:09:40:50.632537,29/Jul/2026:09:40:50.632565,0.0000
20,50,379,success,None,29/Jul/2026:09:40:50.632385,29/Jul/2026:09:40:50.632413,0.0000
20,50,548,success,None,29/Jul/2026:09:40:50.632791,29/Jul/2026:09:40:50.632813,0.0000
20,50,130,success,None,29/Jul/2026:09:40:50.631394,29/Jul/2026:09:40:52.015178,1.3838
