maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies,HTTPS Byte Ranges,HTTPSRequestIDs
1,5,5,success,None,22/Jul/2026:17:23:10.600117,22/Jul/2026:17:23:11.265470,0.6653,0,None,None,None,None
1,5,14,success,None,22/Jul/2026:17:23:11.265945,22/Jul/2026:17:23:12.299601,1.0337,3,22/Jul/2026:17:23:11.266896;22/Jul/2026:17:23:10.601925;22/Jul/2026:17:23:10.602040,0.0128;0.6880;0.6896,bytes=64031676-64101355;bytes=33501535-34378949;bytes=36416455-36543919,2840db94;4caee2c3;ed4a35b5
1,5,21,success,None,22/Jul/2026:17:23:12.299901,22/Jul/2026:17:23:12.945068,0.6452,4,22/Jul/2026:17:23:11.266314;22/Jul/2026:17:23:10.601390;22/Jul/2026:17:23:12.301759;22/Jul/2026:17:23:11.267156,1.0407;1.7230;0.0247;1.0708,bytes=56567130-57460713;bytes=28040343-28228335;bytes=100736163-100823178;bytes=61334061-62230151,23c5139d;dda58142;900667ec;e9dd3310
1,5,31,success,None,22/Jul/2026:17:23:12.945368,22/Jul/2026:17:23:13.570830,0.6255,7,22/Jul/2026:17:23:12.301701;22/Jul/2026:17:23:12.301261;22/Jul/2026:17:23:12.302120;22/Jul/2026:17:23:12.300659;22/Jul/2026:17:23:12.947237;22/Jul/2026:17:23:12.947732;22/Jul/2026:17:23:12.302240,0.6505;0.6543;0.6544;0.6569;0.0153;0.0191;0.6757,bytes=97062700-97160197;bytes=93079693-93177728;bytes=99839545-100736162;bytes=88943721-89074012;bytes=141544733-141634968;bytes=141819095-141917244;bytes=101014334-101109646,c9907ccf;27b459c2;e445db06;6e8a0a0d;1c266722;4c31f6b4;22c0cc49
1,5,43,success,None,22/Jul/2026:17:23:13.571146,22/Jul/2026:17:23:14.013960,0.4428,5,22/Jul/2026:17:23:11.268597;22/Jul/2026:17:23:12.945884;22/Jul/2026:17:23:12.946951;22/Jul/2026:17:23:13.573772;22/Jul/2026:17:23:12.947674,2.3102;0.6350;0.6416;0.0195;0.6751,bytes=72419817-72625560;bytes=126492676-127379382;bytes=134855394-135741531;bytes=194391280-194483396;bytes=141731597-141819094,7f88fd9f;15c20aba;3a0e7c7f;df195ec0;af56fdec
1,5,52,success,None,22/Jul/2026:17:23:14.014249,22/Jul/2026:17:23:14.865691,0.8514,5,22/Jul/2026:17:23:13.572567;22/Jul/2026:17:23:12.947786;22/Jul/2026:17:23:12.946439;22/Jul/2026:17:23:13.571924;22/Jul/2026:17:23:14.015574,0.4496;1.0764;1.0801;0.4547;0.0696,bytes=182324487-182485932;bytes=145507303-145585440;bytes=129793216-130690294;bytes=178336997-178518486;bytes=218398595-218621076,b148e532;dec172e1;0a3def6d;156df4e9;7507c0a6
1,5,59,success,None,22/Jul/2026:17:23:14.865990,22/Jul/2026:17:23:15.439869,0.5739,5,22/Jul/2026:17:23:13.572914;22/Jul/2026:17:23:14.015741;22/Jul/2026:17:23:10.601033;22/Jul/2026:17:23:12.947064;22/Jul/2026:17:23:14.867435,1.3014;0.8590;4.2757;1.9317;0.0403,bytes=184449191-185362529;bytes=218621077-219512660;bytes=27856488-27948609;bytes=136661145-137561854;bytes=246978779-247076166,fe159bc9;6d80bb9b;70e3334e;f21e8591;01f59d7a
1,5,69,success,None,22/Jul/2026:17:23:15.440170,22/Jul/2026:17:23:16.341037,0.9009,7,22/Jul/2026:17:23:14.868333;22/Jul/2026:17:23:14.867772;22/Jul/2026:17:23:14.016399;22/Jul/2026:17:23:14.867089;22/Jul/2026:17:23:15.442500;22/Jul/2026:17:23:10.600940;22/Jul/2026:17:23:15.441505,0.5817;0.5863;1.4471;0.6005;0.0282;4.8880;0.0490,bytes=253823466-254723840;bytes=249736122-250632730;bytes=224582647-225508888;bytes=246739263-246877761;bytes=299798266-299946571;bytes=23833273-24032813;bytes=291705719-291798571,eb734cf3;5f239712;a95957cf;7dcef663;87978cb8;b83821ca;3c24bd54
1,5,80,success,None,22/Jul/2026:17:23:16.341323,22/Jul/2026:17:23:16.625507,0.2842,4,22/Jul/2026:17:23:14.015407;22/Jul/2026:17:23:14.867668;22/Jul/2026:17:23:15.440998;22/Jul/2026:17:23:15.440673,2.3353;1.4852;0.9130;0.9334,bytes=216215809-217140565;bytes=247957533-248837276;bytes=287713547-287809746;bytes=280917475-281801805,516c0d92;4ae71932;c3714be4;d688b8f6
1,5,86,success,None,22/Jul/2026:17:23:16.625824,22/Jul/2026:17:23:17.588619,0.9628,3,22/Jul/2026:17:23:14.868390;22/Jul/2026:17:23:16.343342;22/Jul/2026:17:23:16.626704,1.7653;0.2910;0.0430,bytes=254937027-255036590;bytes=337891468-338758832;bytes=352753015-352849587,9b45b363;37c5f207;190051bd
