maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency
1,2,0,success,None,28/Jul/2026:13:18:45.938856,28/Jul/2026:13:18:45.981133,0.0423
1,2,16,success,None,28/Jul/2026:13:18:45.981270,28/Jul/2026:13:18:46.019404,0.0381
1,2,23,success,None,28/Jul/2026:13:18:46.019459,28/Jul/2026:13:18:46.055558,0.0361
1,2,32,success,None,28/Jul/2026:13:18:46.055646,28/Jul/2026:13:18:46.295225,0.2396
1,2,46,success,None,28/Jul/2026:13:18:46.295368,28/Jul/2026:13:18:46.332379,0.0370
1,2,52,success,None,28/Jul/2026:13:18:46.332524,28/Jul/2026:13:18:46.367372,0.0348
1,2,145,success,None,28/Jul/2026:13:18:46.367535,28/Jul/2026:13:18:46.403735,0.0362
1,2,168,success,None,28/Jul/2026:13:18:46.403885,28/Jul/2026:13:18:46.442129,0.0382
1,2,190,success,None,28/Jul/2026:13:18:46.442245,28/Jul/2026:13:18:46.480794,0.0385
1,2,209,success,None,28/Jul/2026:13:18:46.480873,28/Jul/2026:13:18:46.759625,0.2788
1,2,235,success,None,28/Jul/2026:13:18:46.759714,28/Jul/2026:13:18:47.042761,0.2830
1,2,244,success,None,28/Jul/2026:13:18:47.042893,28/Jul/2026:13:18:47.079968,0.0371
1,2,267,success,None,28/Jul/2026:13:18:47.080112,28/Jul/2026:13:18:47.119266,0.0392
1,2,277,success,None,28/Jul/2026:13:18:47.119357,28/Jul/2026:13:18:47.156373,0.0370
1,2,289,success,None,28/Jul/2026:13:18:47.156492,28/Jul/2026:13:18:47.196854,0.0404
1,2,304,success,None,28/Jul/2026:13:18:47.196947,28/Jul/2026:13:18:47.234708,0.0378
1,2,340,success,None,28/Jul/2026:13:18:47.234811,28/Jul/2026:13:18:47.273123,0.0383
1,2,369,success,None,28/Jul/2026:13:18:47.273161,28/Jul/2026:13:18:47.311551,0.0384
1,2,413,success,None,28/Jul/2026:13:18:47.311588,28/Jul/2026:13:18:47.311630,0.0000
1,2,420,success,None,28/Jul/2026:13:18:47.311639,28/Jul/2026:13:18:47.311665,0.0000
