maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies,HTTPS Byte Ranges,HTTPSRequestIDs
1,4,92,success,None,24/Jul/2026:12:39:49.124714,24/Jul/2026:12:39:49.661476,0.5368,8,24/Jul/2026:12:39:46.238610;24/Jul/2026:12:39:46.237931;24/Jul/2026:12:39:48.501004;24/Jul/2026:12:39:49.126136;24/Jul/2026:12:39:48.501797;24/Jul/2026:12:39:49.125770;24/Jul/2026:12:39:49.126254;24/Jul/2026:12:39:44.218118,2.8934;2.8971;0.6387;0.0155;0.6435;0.0197;0.0332;4.9464,bytes=226620043-226801955;bytes=223703490-224582646;bytes=324655799-324853181;bytes=381723900-381803305;bytes=331689552-332596749;bytes=381516912-381619789;bytes=385509523-385600051;bytes=116816908-116895549,f5c1365e;a7e6d13e;96302e5f;e9bd1e62;84399f7d;d54d30ce;7bc0f144;cbd69a5f
1,4,104,success,None,24/Jul/2026:12:39:49.661724,24/Jul/2026:12:39:50.296627,0.6349,4,24/Jul/2026:12:39:49.125894;24/Jul/2026:12:39:49.126195;24/Jul/2026:12:39:48.501409;24/Jul/2026:12:39:46.240289,0.5444;0.5474;1.1813;3.4493,bytes=377909506-378813203;bytes=381806962-381914446;bytes=328660519-328837695;bytes=232925170-233845784,82b27aef;e499920e;cd245e94;fbb4b9f3
1,4,114,success,None,24/Jul/2026:12:39:50.296869,24/Jul/2026:12:39:50.927798,0.6309,3,24/Jul/2026:12:39:49.662082;24/Jul/2026:12:39:49.663326;24/Jul/2026:12:39:50.298716,0.6432;0.6629;0.0376,bytes=422482564-423371884;bytes=430736930-431646797;bytes=475666336-475861053,fbe6bada;1a1ffa8e;5e4d1039
1,4,143,success,None,24/Jul/2026:12:39:50.928063,24/Jul/2026:12:39:51.782377,0.8543,4,24/Jul/2026:12:39:50.929237;24/Jul/2026:12:39:49.663011;24/Jul/2026:12:39:50.298164;24/Jul/2026:12:39:47.526872,0.0213;1.2890;0.6605;3.4407,bytes=585867301-585970366;bytes=429342132-430246770;bytes=471326783-471499488;bytes=295668879-295754288,c859ae84;2ad6b76b;03746410;6947f314
1,4,164,success,None,24/Jul/2026:12:39:51.782654,24/Jul/2026:12:39:52.575009,0.7923,7,24/Jul/2026:12:39:50.929743;24/Jul/2026:12:39:47.526788;24/Jul/2026:12:39:50.929612;24/Jul/2026:12:39:49.126791;24/Jul/2026:12:39:46.883779;24/Jul/2026:12:39:51.783740;24/Jul/2026:12:39:50.930079,0.8612;4.2644;0.8632;2.6841;4.9301;0.0321;0.8943,bytes=588740465-589628498;bytes=291985304-292077096;bytes=586953353-587835497;bytes=389551736-389641700;bytes=264136703-265035310;bytes=675754358-675858112;bytes=590162248-591060463,9b412c1b;11f71fd4;9d4adc89;f6f05ca0;eb05c7fb;5ae11fbe;e4604daf
1,4,169,success,None,24/Jul/2026:12:39:52.575244,24/Jul/2026:12:39:53.417642,0.8424,8,24/Jul/2026:12:39:51.783038;24/Jul/2026:12:39:50.929951;24/Jul/2026:12:39:51.783236;24/Jul/2026:12:39:51.784176;24/Jul/2026:12:39:52.576551;24/Jul/2026:12:39:52.577055;24/Jul/2026:12:39:50.297600;24/Jul/2026:12:39:50.930531,0.8001;1.6541;0.8014;0.8034;0.0207;0.0239;2.3055;1.6812,bytes=667930100-668821039;bytes=593727707-593827298;bytes=668821040-669698553;bytes=679660475-679755420;bytes=695844898-695940693;bytes=699932937-700031043;bytes=467103933-467295865;bytes=597813336-597894007,454bc60e;b5ecb379;1e97cc5a;1ce70f4d;20dbc2ed;1613c106;cb581148;4e3b7ecd
1,4,182,success,None,24/Jul/2026:12:39:53.417905,24/Jul/2026:12:39:53.999364,0.5815,4,24/Jul/2026:12:39:47.526625;24/Jul/2026:12:39:52.575609;24/Jul/2026:12:39:50.930017;24/Jul/2026:12:39:52.576716,5.8987;0.8500;2.4961;0.8671,bytes=291897784-291985303;bytes=687880297-688765217;bytes=593827299-593917808;bytes=699763337-699842701,0155afa2;f2a70fcf;68934c24;3190ef65
1,4,189,success,None,24/Jul/2026:12:39:53.999605,24/Jul/2026:12:39:54.817098,0.8175,3,24/Jul/2026:12:39:53.418276;24/Jul/2026:12:39:49.663392;24/Jul/2026:12:39:54.000565,0.5891;4.3519;0.0280,bytes=741325427-742225898;bytes=431646798-432525201;bytes=778081137-778191782,081c9713;42daaa99;d48872f1
1,4,194,success,None,24/Jul/2026:12:39:54.817344,24/Jul/2026:12:39:55.635697,0.8183,0,None,None,None,None
1,4,202,success,None,24/Jul/2026:12:39:55.635940,24/Jul/2026:12:39:56.781211,1.1453,6,24/Jul/2026:12:39:43.848744;24/Jul/2026:12:39:53.419081;24/Jul/2026:12:39:52.576119;24/Jul/2026:12:39:54.001018;24/Jul/2026:12:39:54.000631;24/Jul/2026:12:39:54.000389,11.7945;2.2246;3.0700;1.6616;1.6716;1.6791,bytes=100736163-100823178;bytes=748931138-749015718;bytes=695527492-695694348;bytes=781964888-782056524;bytes=774382547-775282913;bytes=774270381-774382546,5f40f712;a85d80e3;e0e6eb19;188f951f;a7407434;9044647f
