maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies
2,5,133,success,None,22/Jul/2026:11:42:19.020783,22/Jul/2026:11:42:19.656074,0.6353,9,22/Jul/2026:11:42:18.267142;22/Jul/2026:11:42:18.519858;22/Jul/2026:11:42:19.021910;22/Jul/2026:11:42:19.021848;22/Jul/2026:11:42:18.266113;22/Jul/2026:11:42:19.021977;22/Jul/2026:11:42:19.022660;22/Jul/2026:11:42:18.519940;22/Jul/2026:11:42:18.266789,0.7597;0.5207;0.0191;0.0257;0.9277;0.1731;0.1739;0.6797;0.9369
2,5,151,success,None,22/Jul/2026:11:42:19.184934,22/Jul/2026:11:42:19.671250,0.4863,9,22/Jul/2026:11:42:18.266113;22/Jul/2026:11:42:19.021977;22/Jul/2026:11:42:19.022660;22/Jul/2026:11:42:18.519940;22/Jul/2026:11:42:18.266789;22/Jul/2026:11:42:19.185658;22/Jul/2026:11:42:13.829944;22/Jul/2026:11:42:17.633966;22/Jul/2026:11:42:18.267442,0.9277;0.1731;0.1739;0.6797;0.9369;0.4788;5.8363;2.0342;1.4018
2,5,203,success,None,22/Jul/2026:11:42:19.671582,22/Jul/2026:11:42:20.323003,0.6514,5,22/Jul/2026:11:42:19.186808;22/Jul/2026:11:42:19.658894;22/Jul/2026:11:42:19.659459;22/Jul/2026:11:42:19.657469;22/Jul/2026:11:42:17.633744,0.4931;0.0329;0.0412;0.0485;2.0746
2,5,161,success,None,22/Jul/2026:11:42:19.656394,22/Jul/2026:11:42:20.356932,0.7005,15,22/Jul/2026:11:42:19.185658;22/Jul/2026:11:42:13.829944;22/Jul/2026:11:42:17.633966;22/Jul/2026:11:42:18.267442;22/Jul/2026:11:42:19.186808;22/Jul/2026:11:42:19.658894;22/Jul/2026:11:42:19.659459;22/Jul/2026:11:42:19.657469;22/Jul/2026:11:42:17.633744;22/Jul/2026:11:42:19.659052;22/Jul/2026:11:42:16.537430;22/Jul/2026:11:42:17.634284;22/Jul/2026:11:42:18.521016;22/Jul/2026:11:42:19.658782;22/Jul/2026:11:42:20.324349,0.4788;5.8363;2.0342;1.4018;0.4931;0.0329;0.0412;0.0485;2.0746;0.6752;3.7969;2.7048;1.8298;0.6969;0.0313
2,5,315,success,None,22/Jul/2026:11:42:20.357259,22/Jul/2026:11:42:20.806885,0.4496,11,22/Jul/2026:11:42:20.324909;22/Jul/2026:11:42:20.324512;22/Jul/2026:11:42:20.325602;22/Jul/2026:11:42:19.672962;22/Jul/2026:11:42:18.266257;22/Jul/2026:11:42:18.266377;22/Jul/2026:11:42:19.022722;22/Jul/2026:11:42:18.520272;22/Jul/2026:11:42:20.326000;22/Jul/2026:11:42:19.657171;22/Jul/2026:11:42:20.324632,0.0416;0.0454;0.0446;0.6996;2.1066;2.1076;1.3584;1.8752;0.0700;0.7390;0.0722
2,5,212,success,None,22/Jul/2026:11:42:20.323289,22/Jul/2026:11:42:20.832173,0.5089,17,22/Jul/2026:11:42:19.659052;22/Jul/2026:11:42:16.537430;22/Jul/2026:11:42:17.634284;22/Jul/2026:11:42:18.521016;22/Jul/2026:11:42:19.658782;22/Jul/2026:11:42:20.324349;22/Jul/2026:11:42:20.324909;22/Jul/2026:11:42:20.324512;22/Jul/2026:11:42:20.325602;22/Jul/2026:11:42:19.672962;22/Jul/2026:11:42:18.266257;22/Jul/2026:11:42:18.266377;22/Jul/2026:11:42:19.022722;22/Jul/2026:11:42:18.520272;22/Jul/2026:11:42:20.326000;22/Jul/2026:11:42:19.657171;22/Jul/2026:11:42:20.324632,0.6752;3.7969;2.7048;1.8298;0.6969;0.0313;0.0416;0.0454;0.0446;0.6996;2.1066;2.1076;1.3584;1.8752;0.0700;0.7390;0.0722
2,5,324,success,None,22/Jul/2026:11:42:20.807205,22/Jul/2026:11:42:21.306787,0.4996,8,22/Jul/2026:11:42:19.658128;22/Jul/2026:11:42:20.325466;22/Jul/2026:11:42:19.673045;22/Jul/2026:11:42:19.673804;22/Jul/2026:11:42:20.808667;22/Jul/2026:11:42:20.358950;22/Jul/2026:11:42:20.358161;22/Jul/2026:11:42:20.834007,1.1812;0.5157;1.1697;1.1706;0.0379;0.4921;0.5059;0.0373
2,5,334,success,None,22/Jul/2026:11:42:20.832476,22/Jul/2026:11:42:21.449126,0.6166,15,22/Jul/2026:11:42:19.658128;22/Jul/2026:11:42:20.325466;22/Jul/2026:11:42:19.673045;22/Jul/2026:11:42:19.673804;22/Jul/2026:11:42:20.808667;22/Jul/2026:11:42:20.358950;22/Jul/2026:11:42:20.358161;22/Jul/2026:11:42:20.834007;22/Jul/2026:11:42:19.659107;22/Jul/2026:11:42:19.672499;22/Jul/2026:11:42:20.324272;22/Jul/2026:11:42:19.023078;22/Jul/2026:11:42:20.357876;22/Jul/2026:11:42:20.359533;22/Jul/2026:11:42:19.021484,1.1812;0.5157;1.1697;1.1706;0.0379;0.4921;0.5059;0.0373;1.6573;1.6446;0.9934;2.2956;0.9611;0.9652;2.3061
2,5,343,success,None,22/Jul/2026:11:42:21.307095,22/Jul/2026:11:42:21.623094,0.3160,10,22/Jul/2026:11:42:19.659107;22/Jul/2026:11:42:19.672499;22/Jul/2026:11:42:20.324272;22/Jul/2026:11:42:19.023078;22/Jul/2026:11:42:20.357876;22/Jul/2026:11:42:20.359533;22/Jul/2026:11:42:19.021484;22/Jul/2026:11:42:20.809094;22/Jul/2026:11:42:21.451635;22/Jul/2026:11:42:21.451575,1.6573;1.6446;0.9934;2.2956;0.9611;0.9652;2.3061;0.6492;0.0282;0.0287
2,5,366,success,None,22/Jul/2026:11:42:21.449464,22/Jul/2026:11:42:21.714502,0.2650,9,22/Jul/2026:11:42:20.809094;22/Jul/2026:11:42:21.451635;22/Jul/2026:11:42:21.451575;22/Jul/2026:11:42:18.519607;22/Jul/2026:11:42:18.519668;22/Jul/2026:11:42:18.520009;22/Jul/2026:11:42:21.307963;22/Jul/2026:11:42:19.672579;22/Jul/2026:11:42:17.637013,0.6492;0.0282;0.0287;3.1095;3.1114;3.1116;0.3268;1.9679;4.0057
