maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies,HTTPS Byte Ranges,HTTPSRequestIDs
1,4,2,success,None,23/Jul/2026:13:15:27.399328,23/Jul/2026:13:15:28.884729,1.4854,0,None,None,None,None
1,4,7,success,None,23/Jul/2026:13:15:28.884939,23/Jul/2026:13:15:30.071656,1.1867,0,None,None,None,None
1,4,12,success,None,23/Jul/2026:13:15:30.071874,23/Jul/2026:13:15:31.213098,1.1412,2,23/Jul/2026:13:15:27.402575;23/Jul/2026:13:15:28.886258,2.7212;1.2509,bytes=19624248-19703507;bytes=36416455-36543919,22ac4b94;b62fa301
1,4,20,success,None,23/Jul/2026:13:15:31.213330,23/Jul/2026:13:15:32.193567,0.9802,4,23/Jul/2026:13:15:31.213840;23/Jul/2026:13:15:28.886026;23/Jul/2026:13:15:27.402758;23/Jul/2026:13:15:30.072710,0.0516;2.4096;3.9240;1.3221,bytes=81885664-82767056;bytes=32607769-33501534;bytes=16834771-17733156;bytes=56155737-56304528,5e10a640;b5d04ff8;0d49ada2;c567461c
1,4,30,success,None,23/Jul/2026:13:15:32.193781,23/Jul/2026:13:15:33.227822,1.0340,5,23/Jul/2026:13:15:31.215209;23/Jul/2026:13:15:27.401760;23/Jul/2026:13:15:30.073047;23/Jul/2026:13:15:31.214975;23/Jul/2026:13:15:32.195437,1.0369;4.8503;2.1792;1.0536;0.0812,bytes=92992578-93079692;bytes=11975124-12870473;bytes=54370984-55273864;bytes=89192874-90102088;bytes=133498418-133596014,f8a25f61;8602a3b5;37c1554b;3ac5f575;ad0ffe79
1,4,41,success,None,23/Jul/2026:13:15:33.228044,23/Jul/2026:13:15:34.512826,1.2848,4,23/Jul/2026:13:15:28.885669;23/Jul/2026:13:15:30.072515;23/Jul/2026:13:15:32.194563;23/Jul/2026:13:15:32.194128,4.3691;3.1823;1.0693;1.0963,bytes=32236124-32417063;bytes=51261479-52138480;bytes=125414255-125611312;bytes=121412194-122309905,ea4b6f69;39b7cc4f;b2ffff4d;e1f8b645
1,4,52,success,None,23/Jul/2026:13:15:34.513055,23/Jul/2026:13:15:35.524758,1.0117,0,None,None,None,None
1,4,60,success,None,23/Jul/2026:13:15:35.524981,23/Jul/2026:13:15:36.736634,1.2117,6,23/Jul/2026:13:15:34.514773;23/Jul/2026:13:15:34.514715;23/Jul/2026:13:15:28.886086;23/Jul/2026:13:15:28.885453;23/Jul/2026:13:15:31.215378;23/Jul/2026:13:15:33.229456,1.0383;1.0385;6.6724;6.6782;4.3588;2.3544,bytes=221333954-222249682;bytes=220406321-221333953;bytes=33501535-34378949;bytes=29322117-30208735;bytes=96873784-96964377;bytes=173982062-174165865,2c217933;3f02f6c0;b34e3a02;dc5c7167;d4cb7451;8d9a6a2e
1,4,73,success,None,23/Jul/2026:13:15:36.736832,23/Jul/2026:13:15:37.697049,0.9602,8,23/Jul/2026:13:15:34.514356;23/Jul/2026:13:15:31.214438;23/Jul/2026:13:15:28.885952;23/Jul/2026:13:15:32.195498;23/Jul/2026:13:15:31.214917;23/Jul/2026:13:15:34.515003;23/Jul/2026:13:15:36.738709;23/Jul/2026:13:15:34.513789,2.2595;5.5596;7.8900;4.5920;5.5740;2.3168;0.1022;2.3336,bytes=218212016-218398594;bytes=88844908-88943720;bytes=36319658-36416454;bytes=129793216-130690294;bytes=92896195-92992577;bytes=226522245-226620042;bytes=307918882-308012965;bytes=213038778-213933941,0beafa35;dbd9a89d;2ea78848;0e54e7b3;7cd75ffa;602d6094;0567cf5d;1ad173dc
1,4,85,success,None,23/Jul/2026:13:15:37.697273,23/Jul/2026:13:15:38.672327,0.9751,2,23/Jul/2026:13:15:34.514472;23/Jul/2026:13:15:37.698688,3.2427;0.1018,bytes=222249683-222339354;bytes=352849588-352948511,2df829b0;3cc15a8f
1,4,95,success,None,23/Jul/2026:13:15:38.672552,23/Jul/2026:13:15:39.652418,0.9799,3,23/Jul/2026:13:15:36.737317;23/Jul/2026:13:15:36.737903;23/Jul/2026:13:15:37.699106,1.9678;1.9845;1.0242,bytes=296927649-297803306;bytes=300147834-301031514;bytes=356813979-356907188,f7b28090;d758d17d;488b59b9
1,4,100,success,None,23/Jul/2026:13:15:39.652644,23/Jul/2026:13:15:40.697484,1.0448,4,23/Jul/2026:13:15:31.214162;23/Jul/2026:13:15:36.737395;23/Jul/2026:13:15:38.672904;23/Jul/2026:13:15:34.514121,8.4721;2.9495;1.0567;5.2727,bytes=84801065-84961422;bytes=297803307-298711102;bytes=385865751-386772233;bytes=214424172-215318826,883ed4c8;633bc348;af92c96b;0cc06869
1,4,105,success,None,23/Jul/2026:13:15:40.697698,23/Jul/2026:13:15:41.473684,0.7760,6,23/Jul/2026:13:15:35.525565;23/Jul/2026:13:15:38.674331;23/Jul/2026:13:15:37.699170;23/Jul/2026:13:15:38.673988;23/Jul/2026:13:15:38.674221;23/Jul/2026:13:15:37.698422,5.2060;2.0716;3.0468;2.0882;2.0892;3.0736,bytes=244835071-245732602;bytes=397604782-397705040;bytes=356907189-357003731;bytes=397270077-397470084;bytes=395517720-396384850;bytes=349775547-350658583,3647714f;cb8a283d;0ca91958;87757a4f;9b6b7442;937bfaaa
1,4,113,success,None,23/Jul/2026:13:15:41.473910,23/Jul/2026:13:15:42.925998,1.4521,4,23/Jul/2026:13:15:37.699286;23/Jul/2026:13:15:40.698486;23/Jul/2026:13:15:38.674048;23/Jul/2026:13:15:40.698973,3.8166;0.8188;2.8519;0.8316,bytes=360738147-360814686;bytes=430463925-430591837;bytes=397470085-397604781;bytes=432525202-433433878,b09357a1;38b3ea99;ef36214a;b1cced2a
1,4,122,success,None,23/Jul/2026:13:15:42.926215,23/Jul/2026:13:15:44.010101,1.0839,3,23/Jul/2026:13:15:41.475510;23/Jul/2026:13:15:41.475394;23/Jul/2026:13:15:30.073746,1.4860;1.4975;12.9000,bytes=467516814-468397469;bytes=471132378-471238932;bytes=64031676-64101355,2ff16e68;f4111a34;c54dc13f
1,4,128,success,None,23/Jul/2026:13:15:44.010326,23/Jul/2026:13:15:45.107502,1.0972,5,23/Jul/2026:13:15:42.927108;23/Jul/2026:13:15:39.654533;23/Jul/2026:13:15:41.474873;23/Jul/2026:13:15:37.698868;23/Jul/2026:13:15:44.011598,1.1143;4.3911;2.5756;6.3639;0.1107,bytes=503752198-503880044;bytes=422028697-422126700;bytes=467010151-467103932;bytes=352948512-353842502;bytes=528844495-528937260,48da404a;58c510af;a97e3a58;5392342b;8838e57a
1,4,137,success,None,23/Jul/2026:13:15:45.107724,23/Jul/2026:13:15:46.233119,1.1254,9,23/Jul/2026:13:15:41.475203;23/Jul/2026:13:15:38.673216;23/Jul/2026:13:15:40.699430;23/Jul/2026:13:15:41.475131;23/Jul/2026:13:15:42.927733;23/Jul/2026:13:15:44.011773;23/Jul/2026:13:15:44.011055;23/Jul/2026:13:15:45.109726;23/Jul/2026:13:15:42.928078,3.6660;6.4683;4.4477;3.6722;2.2226;1.1443;1.1585;0.0611;2.2564,bytes=466000762-466912682;bytes=388560401-389466134;bytes=436493583-437389647;bytes=465071914-466000761;bytes=507862669-507935482;bytes=532745253-532850845;bytes=524676355-524847305;bytes=573539384-573644370;bytes=508117604-508298438,8a909866;675118c4;5c814868;b4d63b17;db48a91b;fb9f88b7;53b4bfa6;39f536f3;8caafaee
1,4,142,success,None,23/Jul/2026:13:15:46.233346,23/Jul/2026:13:15:47.306150,1.0728,4,23/Jul/2026:13:15:45.109496;23/Jul/2026:13:15:45.109313;23/Jul/2026:13:15:44.011157;23/Jul/2026:13:15:40.699603,1.1808;1.1820;2.2802;5.6326,bytes=568354230-569265182;bytes=565662708-566543610;bytes=524847306-525013330;bytes=438578455-438672914,54a4c0d9;de28c8d1;1af370f3;53b2cba7
1,4,151,success,None,23/Jul/2026:13:15:47.306402,23/Jul/2026:13:15:48.369355,1.0630,6,23/Jul/2026:13:15:44.011226;23/Jul/2026:13:15:41.474636;23/Jul/2026:13:15:34.513594;23/Jul/2026:13:15:39.653964;23/Jul/2026:13:15:44.011832;23/Jul/2026:13:15:45.109071,3.3250;5.8652;12.8385;7.7013;3.3558;2.2664,bytes=528627516-528731142;bytes=462902768-463097128;bytes=211226170-212123542;bytes=413892166-414096607;bytes=529032097-529940174;bytes=565244006-565446215,6a992e9a;9ed9edb7;e6c33e54;422cf5a1;f6a581c4;ce7a0dfe
1,4,157,success,None,23/Jul/2026:13:15:48.369641,23/Jul/2026:13:15:49.192779,0.8231,4,23/Jul/2026:13:15:42.926559;23/Jul/2026:13:15:47.307530;23/Jul/2026:13:15:48.371645;23/Jul/2026:13:15:48.371697,5.4729;1.0921;0.0478;0.0547,bytes=496031908-496918350;bytes=622605347-622710908;bytes=654838511-654922995;bytes=654922996-655003102,ff4df3bc;ca55b60b;62d3baf2;77c26eed
1,4,177,success,None,23/Jul/2026:13:15:49.193036,23/Jul/2026:13:15:50.662321,1.4693,2,23/Jul/2026:13:15:48.371593;23/Jul/2026:13:15:48.371172,0.8501;0.8864,bytes=651124891-651228523;bytes=647067087-647169188,0e416a6f;825cc562
1,4,185,success,None,23/Jul/2026:13:15:50.662572,23/Jul/2026:13:15:51.819346,1.1568,7,23/Jul/2026:13:15:49.194028;23/Jul/2026:13:15:40.699657;23/Jul/2026:13:15:48.371490;23/Jul/2026:13:15:49.193616;23/Jul/2026:13:15:47.307958;23/Jul/2026:13:15:49.193966;23/Jul/2026:13:15:46.234461,1.4974;9.9950;2.3260;1.5050;3.3939;1.5099;4.4694,bytes=728797327-728892940;bytes=442256569-442413724;bytes=649882761-650790070;bytes=721944040-722831132;bytes=626782312-626890299;bytes=725031293-725184091;bytes=582091563-582993357,bccd0f2f;e18a6a0c;85177456;f3637058;503f754d;ec5f15a4;d2ee93c9
1,4,190,success,None,23/Jul/2026:13:15:51.819572,23/Jul/2026:13:15:52.941715,1.1221,8,23/Jul/2026:13:15:42.927963;23/Jul/2026:13:15:50.663426;23/Jul/2026:13:15:49.194877;23/Jul/2026:13:15:50.662945;23/Jul/2026:13:15:49.194435;23/Jul/2026:13:15:50.663871;23/Jul/2026:13:15:50.664728;23/Jul/2026:13:15:50.664671,8.9199;1.1894;2.6579;1.2054;2.6816;1.2123;1.2135;1.2474,bytes=506882624-507783747;bytes=757490362-757708076;bytes=733087581-733188612;bytes=753484099-754377061;bytes=729104088-729196943;bytes=758605300-759497059;bytes=769898911-770005745;bytes=769788690-769898910,92e1e6ab;a7c5e724;d40d1963;7de56b9e;f8635974;030dccbb;5625fee2;1d874e0a
1,4,202,success,None,23/Jul/2026:13:15:52.941940,23/Jul/2026:13:15:53.884447,0.9425,4,23/Jul/2026:13:15:49.194152;23/Jul/2026:13:15:46.234804;23/Jul/2026:13:15:51.821501;23/Jul/2026:13:15:52.943742,3.7780;6.7374;1.1614;0.0538,bytes=725184092-726088638;bytes=585970367-586062657;bytes=789959867-790080222;bytes=835337755-835436006,6d270d7c;5f48afab;e91da780;8bced41e
