maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies,HTTPS Byte Ranges,HTTPSRequestIDs
15,4,34,success,None,24/Jul/2026:12:46:00.627808,24/Jul/2026:12:46:01.884464,1.2567,8,24/Jul/2026:12:46:00.635576;24/Jul/2026:12:46:00.632718;24/Jul/2026:12:46:00.661065;24/Jul/2026:12:46:00.660957;24/Jul/2026:12:46:00.654792;24/Jul/2026:12:46:00.654250;24/Jul/2026:12:46:00.654527;24/Jul/2026:12:46:00.662955,0.2527;0.3166;0.9889;1.0166;1.0401;1.0910;1.0918;1.1758,bytes=32607769-33501534;bytes=7765296-7868753;bytes=246620476-246739262;bytes=242883246-242969559;bytes=217140566-218048429;bytes=195569362-196458496;bytes=202135189-202210891;bytes=316044706-316242257,3f97e5b1;6f19a390;89fd35c8;114cc861;eb8ae03b;c9fb34d8;d82b4f95;71a0d6eb
15,4,0,success,None,24/Jul/2026:12:46:00.626030,24/Jul/2026:12:46:01.985621,1.3596,9,24/Jul/2026:12:46:00.635576;24/Jul/2026:12:46:00.632718;24/Jul/2026:12:46:00.661065;24/Jul/2026:12:46:00.660957;24/Jul/2026:12:46:00.654792;24/Jul/2026:12:46:00.654250;24/Jul/2026:12:46:00.654527;24/Jul/2026:12:46:00.662955;24/Jul/2026:12:46:00.666218,0.2527;0.3166;0.9889;1.0166;1.0401;1.0910;1.0918;1.1758;1.2683,bytes=32607769-33501534;bytes=7765296-7868753;bytes=246620476-246739262;bytes=242883246-242969559;bytes=217140566-218048429;bytes=195569362-196458496;bytes=202135189-202210891;bytes=316044706-316242257;bytes=414984527-415878393,3f97e5b1;6f19a390;89fd35c8;114cc861;eb8ae03b;c9fb34d8;d82b4f95;71a0d6eb;8f9d68ad
15,4,17,success,None,24/Jul/2026:12:46:00.627090,24/Jul/2026:12:46:02.008001,1.3809,9,24/Jul/2026:12:46:00.635576;24/Jul/2026:12:46:00.632718;24/Jul/2026:12:46:00.661065;24/Jul/2026:12:46:00.660957;24/Jul/2026:12:46:00.654792;24/Jul/2026:12:46:00.654250;24/Jul/2026:12:46:00.654527;24/Jul/2026:12:46:00.662955;24/Jul/2026:12:46:00.666218,0.2527;0.3166;0.9889;1.0166;1.0401;1.0910;1.0918;1.1758;1.2683,bytes=32607769-33501534;bytes=7765296-7868753;bytes=246620476-246739262;bytes=242883246-242969559;bytes=217140566-218048429;bytes=195569362-196458496;bytes=202135189-202210891;bytes=316044706-316242257;bytes=414984527-415878393,3f97e5b1;6f19a390;89fd35c8;114cc861;eb8ae03b;c9fb34d8;d82b4f95;71a0d6eb;8f9d68ad
15,4,24,success,None,24/Jul/2026:12:46:00.627320,24/Jul/2026:12:46:02.022569,1.3953,9,24/Jul/2026:12:46:00.635576;24/Jul/2026:12:46:00.632718;24/Jul/2026:12:46:00.661065;24/Jul/2026:12:46:00.660957;24/Jul/2026:12:46:00.654792;24/Jul/2026:12:46:00.654250;24/Jul/2026:12:46:00.654527;24/Jul/2026:12:46:00.662955;24/Jul/2026:12:46:00.666218,0.2527;0.3166;0.9889;1.0166;1.0401;1.0910;1.0918;1.1758;1.2683,bytes=32607769-33501534;bytes=7765296-7868753;bytes=246620476-246739262;bytes=242883246-242969559;bytes=217140566-218048429;bytes=195569362-196458496;bytes=202135189-202210891;bytes=316044706-316242257;bytes=414984527-415878393,3f97e5b1;6f19a390;89fd35c8;114cc861;eb8ae03b;c9fb34d8;d82b4f95;71a0d6eb;8f9d68ad
15,4,29,success,None,24/Jul/2026:12:46:00.627523,24/Jul/2026:12:46:02.130446,1.5030,12,24/Jul/2026:12:46:00.635576;24/Jul/2026:12:46:00.632718;24/Jul/2026:12:46:00.661065;24/Jul/2026:12:46:00.660957;24/Jul/2026:12:46:00.654792;24/Jul/2026:12:46:00.654250;24/Jul/2026:12:46:00.654527;24/Jul/2026:12:46:00.662955;24/Jul/2026:12:46:00.666218;24/Jul/2026:12:46:00.662862;24/Jul/2026:12:46:00.652338;24/Jul/2026:12:46:00.660516,0.2527;0.3166;0.9889;1.0166;1.0401;1.0910;1.0918;1.1758;1.2683;1.4064;1.4501;1.4679,bytes=32607769-33501534;bytes=7765296-7868753;bytes=246620476-246739262;bytes=242883246-242969559;bytes=217140566-218048429;bytes=195569362-196458496;bytes=202135189-202210891;bytes=316044706-316242257;bytes=414984527-415878393;bytes=314036052-314961210;bytes=174363374-175258548;bytes=226620043-226801955,3f97e5b1;6f19a390;89fd35c8;114cc861;eb8ae03b;c9fb34d8;d82b4f95;71a0d6eb;8f9d68ad;6c9fd690;5cdd7bb7;004e9b6c
15,4,6,success,None,24/Jul/2026:12:46:00.626855,24/Jul/2026:12:46:02.271801,1.6450,12,24/Jul/2026:12:46:00.635576;24/Jul/2026:12:46:00.632718;24/Jul/2026:12:46:00.661065;24/Jul/2026:12:46:00.660957;24/Jul/2026:12:46:00.654792;24/Jul/2026:12:46:00.654250;24/Jul/2026:12:46:00.654527;24/Jul/2026:12:46:00.662955;24/Jul/2026:12:46:00.666218;24/Jul/2026:12:46:00.662862;24/Jul/2026:12:46:00.652338;24/Jul/2026:12:46:00.660516,0.2527;0.3166;0.9889;1.0166;1.0401;1.0910;1.0918;1.1758;1.2683;1.4064;1.4501;1.4679,bytes=32607769-33501534;bytes=7765296-7868753;bytes=246620476-246739262;bytes=242883246-242969559;bytes=217140566-218048429;bytes=195569362-196458496;bytes=202135189-202210891;bytes=316044706-316242257;bytes=414984527-415878393;bytes=314036052-314961210;bytes=174363374-175258548;bytes=226620043-226801955,3f97e5b1;6f19a390;89fd35c8;114cc861;eb8ae03b;c9fb34d8;d82b4f95;71a0d6eb;8f9d68ad;6c9fd690;5cdd7bb7;004e9b6c
15,4,46,success,None,24/Jul/2026:12:46:00.629100,24/Jul/2026:12:46:02.452319,1.8233,14,24/Jul/2026:12:46:00.635576;24/Jul/2026:12:46:00.632718;24/Jul/2026:12:46:00.661065;24/Jul/2026:12:46:00.660957;24/Jul/2026:12:46:00.654792;24/Jul/2026:12:46:00.654250;24/Jul/2026:12:46:00.654527;24/Jul/2026:12:46:00.662955;24/Jul/2026:12:46:00.666218;24/Jul/2026:12:46:00.662862;24/Jul/2026:12:46:00.652338;24/Jul/2026:12:46:00.660516;24/Jul/2026:12:46:00.655001;24/Jul/2026:12:46:00.662391,0.2527;0.3166;0.9889;1.0166;1.0401;1.0910;1.0918;1.1758;1.2683;1.4064;1.4501;1.4679;1.6283;1.7519,bytes=32607769-33501534;bytes=7765296-7868753;bytes=246620476-246739262;bytes=242883246-242969559;bytes=217140566-218048429;bytes=195569362-196458496;bytes=202135189-202210891;bytes=316044706-316242257;bytes=414984527-415878393;bytes=314036052-314961210;bytes=174363374-175258548;bytes=226620043-226801955;bytes=222339355-222425936;bytes=308112266-309015044,3f97e5b1;6f19a390;89fd35c8;114cc861;eb8ae03b;c9fb34d8;d82b4f95;71a0d6eb;8f9d68ad;6c9fd690;5cdd7bb7;004e9b6c;4aaea555;fbee57e7
15,4,41,success,None,24/Jul/2026:12:46:00.628893,24/Jul/2026:12:46:02.461085,1.8322,14,24/Jul/2026:12:46:00.635576;24/Jul/2026:12:46:00.632718;24/Jul/2026:12:46:00.661065;24/Jul/2026:12:46:00.660957;24/Jul/2026:12:46:00.654792;24/Jul/2026:12:46:00.654250;24/Jul/2026:12:46:00.654527;24/Jul/2026:12:46:00.662955;24/Jul/2026:12:46:00.666218;24/Jul/2026:12:46:00.662862;24/Jul/2026:12:46:00.652338;24/Jul/2026:12:46:00.660516;24/Jul/2026:12:46:00.655001;24/Jul/2026:12:46:00.662391,0.2527;0.3166;0.9889;1.0166;1.0401;1.0910;1.0918;1.1758;1.2683;1.4064;1.4501;1.4679;1.6283;1.7519,bytes=32607769-33501534;bytes=7765296-7868753;bytes=246620476-246739262;bytes=242883246-242969559;bytes=217140566-218048429;bytes=195569362-196458496;bytes=202135189-202210891;bytes=316044706-316242257;bytes=414984527-415878393;bytes=314036052-314961210;bytes=174363374-175258548;bytes=226620043-226801955;bytes=222339355-222425936;bytes=308112266-309015044,3f97e5b1;6f19a390;89fd35c8;114cc861;eb8ae03b;c9fb34d8;d82b4f95;71a0d6eb;8f9d68ad;6c9fd690;5cdd7bb7;004e9b6c;4aaea555;fbee57e7
15,4,59,success,None,24/Jul/2026:12:46:00.629485,24/Jul/2026:12:46:02.631384,2.0019,23,24/Jul/2026:12:46:00.635576;24/Jul/2026:12:46:00.632718;24/Jul/2026:12:46:00.661065;24/Jul/2026:12:46:00.660957;24/Jul/2026:12:46:00.654792;24/Jul/2026:12:46:00.654250;24/Jul/2026:12:46:00.654527;24/Jul/2026:12:46:00.662955;24/Jul/2026:12:46:00.666218;24/Jul/2026:12:46:00.662862;24/Jul/2026:12:46:00.652338;24/Jul/2026:12:46:00.660516;24/Jul/2026:12:46:00.655001;24/Jul/2026:12:46:00.662391;24/Jul/2026:12:46:00.654309;24/Jul/2026:12:46:00.653540;24/Jul/2026:12:46:00.652714;24/Jul/2026:12:46:00.637565;24/Jul/2026:12:46:00.634150;24/Jul/2026:12:46:01.885858;24/Jul/2026:12:46:02.023467;24/Jul/2026:12:46:00.633086;24/Jul/2026:12:46:00.662346,0.2527;0.3166;0.9889;1.0166;1.0401;1.0910;1.0918;1.1758;1.2683;1.4064;1.4501;1.4679;1.6283;1.7519;1.8274;1.8414;1.8447;1.8633;1.8686;0.6762;0.5426;1.9345;1.9425,bytes=32607769-33501534;bytes=7765296-7868753;bytes=246620476-246739262;bytes=242883246-242969559;bytes=217140566-218048429;bytes=195569362-196458496;bytes=202135189-202210891;bytes=316044706-316242257;bytes=414984527-415878393;bytes=314036052-314961210;bytes=174363374-175258548;bytes=226620043-226801955;bytes=222339355-222425936;bytes=308112266-309015044;bytes=196458497-197345469;bytes=194301901-194391279;bytes=182125238-182228660;bytes=76333743-76424815;bytes=15652078-15733139;bytes=497803317-498712849;bytes=664638263-665507766;bytes=7968367-8856069;bytes=311821962-311899636,3f97e5b1;6f19a390;89fd35c8;114cc861;eb8ae03b;c9fb34d8;d82b4f95;71a0d6eb;8f9d68ad;6c9fd690;5cdd7bb7;004e9b6c;4aaea555;fbee57e7;56e01bcf;846ccb55;b81189d7;6a3afcde;8dd8e928;5b0994bb;09e1e2dd;1e233b36;0a87494f
15,4,53,success,None,24/Jul/2026:12:46:00.629295,24/Jul/2026:12:46:02.675027,2.0458,25,24/Jul/2026:12:46:00.635576;24/Jul/2026:12:46:00.632718;24/Jul/2026:12:46:00.661065;24/Jul/2026:12:46:00.660957;24/Jul/2026:12:46:00.654792;24/Jul/2026:12:46:00.654250;24/Jul/2026:12:46:00.654527;24/Jul/2026:12:46:00.662955;24/Jul/2026:12:46:00.666218;24/Jul/2026:12:46:00.662862;24/Jul/2026:12:46:00.652338;24/Jul/2026:12:46:00.660516;24/Jul/2026:12:46:00.655001;24/Jul/2026:12:46:00.662391;24/Jul/2026:12:46:00.654309;24/Jul/2026:12:46:00.653540;24/Jul/2026:12:46:00.652714;24/Jul/2026:12:46:00.637565;24/Jul/2026:12:46:00.634150;24/Jul/2026:12:46:01.885858;24/Jul/2026:12:46:02.023467;24/Jul/2026:12:46:00.633086;24/Jul/2026:12:46:00.662346;24/Jul/2026:12:46:00.653190;24/Jul/2026:12:46:00.637300,0.2527;0.3166;0.9889;1.0166;1.0401;1.0910;1.0918;1.1758;1.2683;1.4064;1.4501;1.4679;1.6283;1.7519;1.8274;1.8414;1.8447;1.8633;1.8686;0.6762;0.5426;1.9345;1.9425;1.9955;2.0158,bytes=32607769-33501534;bytes=7765296-7868753;bytes=246620476-246739262;bytes=242883246-242969559;bytes=217140566-218048429;bytes=195569362-196458496;bytes=202135189-202210891;bytes=316044706-316242257;bytes=414984527-415878393;bytes=314036052-314961210;bytes=174363374-175258548;bytes=226620043-226801955;bytes=222339355-222425936;bytes=308112266-309015044;bytes=196458497-197345469;bytes=194301901-194391279;bytes=182125238-182228660;bytes=76333743-76424815;bytes=15652078-15733139;bytes=497803317-498712849;bytes=664638263-665507766;bytes=7968367-8856069;bytes=311821962-311899636;bytes=190616080-190706826;bytes=72226775-72419816,3f97e5b1;6f19a390;89fd35c8;114cc861;eb8ae03b;c9fb34d8;d82b4f95;71a0d6eb;8f9d68ad;6c9fd690;5cdd7bb7;004e9b6c;4aaea555;fbee57e7;56e01bcf;846ccb55;b81189d7;6a3afcde;8dd8e928;5b0994bb;09e1e2dd;1e233b36;0a87494f;b45d43bd;dac0c361
