maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies,HTTPS Byte RangesHTTPSRequestIDs
1,5,0,success,None,22/Jul/2026:17:07:37.650520,22/Jul/2026:17:07:38.520764,0.8702,0,None,None,None,None
1,5,17,success,None,22/Jul/2026:17:07:38.521168,22/Jul/2026:17:07:39.312306,0.7911,3,22/Jul/2026:17:07:37.652494;22/Jul/2026:17:07:37.651918;22/Jul/2026:17:07:38.521884,0.8929;0.9030;0.0390,bytes=1851242-2750474;bytes=87478-974243;bytes=72226775-72419816,3874a065;6656de11;b4d446a1
1,5,24,success,None,22/Jul/2026:17:07:39.312609,22/Jul/2026:17:07:40.163124,0.8505,7,22/Jul/2026:17:07:38.522888;22/Jul/2026:17:07:37.652892;22/Jul/2026:17:07:37.655000;22/Jul/2026:17:07:37.654816;22/Jul/2026:17:07:39.314459;22/Jul/2026:17:07:39.313434;22/Jul/2026:17:07:39.313610,0.7979;1.6833;1.6812;1.6842;0.0288;0.0342;0.0356,bytes=78594375-79519446;bytes=7415186-7591621;bytes=14670926-15553834;bytes=12870474-13766804;bytes=112758631-112848799;bytes=101014334-101109646;bytes=104841493-104958941,c352d520;cf191f9d;3ab981bc;896b5d68;c1d79ceb;7e40c10c;0593132d
1,5,30,success,None,22/Jul/2026:17:07:40.163453,22/Jul/2026:17:07:40.801155,0.6377,7,22/Jul/2026:17:07:39.313800;22/Jul/2026:17:07:39.314233;22/Jul/2026:17:07:39.313100;22/Jul/2026:17:07:39.314026;22/Jul/2026:17:07:38.523704;22/Jul/2026:17:07:40.164445;22/Jul/2026:17:07:39.314776,0.8561;0.8557;0.8637;0.8673;1.6612;0.0278;0.8776,bytes=102885290-103782301;bytes=106946312-107864873;bytes=98062852-98943525;bytes=108774692-108881570;bytes=88745993-88844907;bytes=129216603-129323426;bytes=110958631-111862687,7b31c023;a7a3f17f;d55f0ae6;889f78b2;0578a36b;19f6e32a;a82eb91e
1,5,40,success,None,22/Jul/2026:17:07:40.801466,22/Jul/2026:17:07:41.476953,0.6755,3,22/Jul/2026:17:07:37.654907;22/Jul/2026:17:07:40.165052;22/Jul/2026:17:07:38.521952,3.1550;0.6452;2.2901,bytes=13766805-14670925;bytes=129793216-130690294;bytes=72419817-72625560,7c92cbd7;ab3347e3;f80a11b8
1,5,50,success,None,22/Jul/2026:17:07:41.477262,22/Jul/2026:17:07:42.130678,0.6534,5,22/Jul/2026:17:07:40.803028;22/Jul/2026:17:07:41.478675;22/Jul/2026:17:07:40.802917;22/Jul/2026:17:07:40.803204;22/Jul/2026:17:07:38.522594,0.6996;0.0252;0.7038;0.7106;3.0025,bytes=171071742-171966296;bytes=213933942-214011271;bytes=173892655-173982061;bytes=173982062-174165865;bytes=76617747-76814202,6e76a494;1be40225;e0ebef14;a36e9a73;33938fc1
1,5,59,success,None,22/Jul/2026:17:07:42.130986,22/Jul/2026:17:07:42.394951,0.2640,5,22/Jul/2026:17:07:37.654367;22/Jul/2026:17:07:40.803721;22/Jul/2026:17:07:40.802173;22/Jul/2026:17:07:37.653428;22/Jul/2026:17:07:42.131942,4.4841;1.3359;1.3387;4.4902;0.0327,bytes=11768140-11869466;bytes=177054365-177963906;bytes=165673928-165848258;bytes=5616508-6512596;bytes=246739263-246877761,a92030a3;e80d2c0a;e086a44b;8f7c2dc1;4c7d324f
1,5,65,success,None,22/Jul/2026:17:07:42.395235,22/Jul/2026:17:07:43.027452,0.6322,1,22/Jul/2026:17:07:37.653611,4.7503,bytes=7765296-7868753,d7940fc3
1,5,78,success,None,22/Jul/2026:17:07:43.027755,22/Jul/2026:17:07:43.691942,0.6642,4,22/Jul/2026:17:07:42.396837;22/Jul/2026:17:07:42.132401;22/Jul/2026:17:07:42.396975;22/Jul/2026:17:07:42.395904,0.6410;0.9056;0.6459;0.6555,bytes=275259621-275367257;bytes=250784208-250950560;bytes=271664798-272539140;bytes=265970310-266870599,a302614f;d639b1ab;803d3af5;97f3e924
1,5,93,success,None,22/Jul/2026:17:07:43.692256,22/Jul/2026:17:07:43.978954,0.2867,5,22/Jul/2026:17:07:42.398086;22/Jul/2026:17:07:42.132717;22/Jul/2026:17:07:43.030332;22/Jul/2026:17:07:43.030196;22/Jul/2026:17:07:41.479017,1.3029;1.5699;0.6758;0.6875;2.2660,bytes=283728233-283843517;bytes=251053473-251149835;bytes=336701984-336799860;bytes=332900130-333004364;bytes=214087073-214251221,8afc103a;6ca1f7cf;b024a2a0;bcf1c8e4;64b19a69
