maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies,HTTPS Byte RangesHTTPSRequestIDs
1,5,410,success,None,22/Jul/2026:16:43:02.780387,22/Jul/2026:16:43:03.381605,0.6012,7,22/Jul/2026:16:43:02.253304;22/Jul/2026:16:43:02.252223;22/Jul/2026:16:43:02.253021;22/Jul/2026:16:43:02.781991;22/Jul/2026:16:43:01.448772;22/Jul/2026:16:43:02.781530;22/Jul/2026:16:43:02.781307,0.5341;0.5388;0.5477;0.0290;1.3658;0.0432;0.0467,bytes=1448856723-1449081046;bytes=1444456723-1444533543;bytes=1448764433-1448856722;bytes=1693139227-1693231849;bytes=1263864705-1264059242;bytes=1689195283-1689288063;bytes=1685262769-1685372157,3231b2f6;54f08d42;231c8f40;c8239dcd;cdac6b50;b81c77a6;eacc6c20
1,5,421,success,None,22/Jul/2026:16:43:03.381923,22/Jul/2026:16:43:04.237605,0.8557,1,22/Jul/2026:16:43:01.448468,1.9474,bytes=1259870837-1260745814,7015b07a
2,5,122,success,None,22/Jul/2026:16:43:04.238875,22/Jul/2026:16:43:04.605786,0.3669,5,22/Jul/2026:16:42:58.536585;22/Jul/2026:16:42:55.399608;22/Jul/2026:16:43:04.240334;22/Jul/2026:16:43:04.239858;22/Jul/2026:16:43:04.243132,5.7270;8.8640;0.0259;0.0497;0.0515,bytes=888969639-889863790;bytes=512091805-512280382;bytes=504062201-504159947;bytes=500029961-500138678;bytes=508117604-508298438,f20c0652;d8c611fa;91b0c29f;14f2a1a2;6a65971e
2,5,141,success,None,22/Jul/2026:16:43:04.606092,22/Jul/2026:16:43:05.304953,0.6989,4,22/Jul/2026:16:43:04.243428;22/Jul/2026:16:43:01.048009;22/Jul/2026:16:43:04.243649;22/Jul/2026:16:43:04.608723,0.3702;3.5658;0.3776;0.0221,bytes=510093613-511019724;bytes=1238870727-1238975832;bytes=516116082-516212958;bytes=589945731-590059167,fcda5aa4;3a9f714a;0adb998b;4818775e
2,5,133,success,None,22/Jul/2026:16:43:04.239091,22/Jul/2026:16:43:05.395910,1.1568,12,22/Jul/2026:16:42:58.536585;22/Jul/2026:16:42:55.399608;22/Jul/2026:16:43:04.240334;22/Jul/2026:16:43:04.239858;22/Jul/2026:16:43:04.243132;22/Jul/2026:16:43:04.243428;22/Jul/2026:16:43:01.048009;22/Jul/2026:16:43:04.243649;22/Jul/2026:16:43:04.608723;22/Jul/2026:16:43:04.240160;22/Jul/2026:16:43:04.607473;22/Jul/2026:16:43:04.246181,5.7270;8.8640;0.0259;0.0497;0.0515;0.3702;3.5658;0.3776;0.0221;1.0836;0.7274;1.1090,bytes=888969639-889863790;bytes=512091805-512280382;bytes=504062201-504159947;bytes=500029961-500138678;bytes=508117604-508298438;bytes=510093613-511019724;bytes=1238870727-1238975832;bytes=516116082-516212958;bytes=589945731-590059167;bytes=501934467-502851697;bytes=579904055-580817981;bytes=544966381-545071619,f20c0652;d8c611fa;91b0c29f;14f2a1a2;6a65971e;fcda5aa4;3a9f714a;0adb998b;4818775e;832d773b;31ef620d;8b391204
2,5,191,success,None,22/Jul/2026:16:43:05.305275,22/Jul/2026:16:43:05.977788,0.6725,5,22/Jul/2026:16:43:04.240160;22/Jul/2026:16:43:04.607473;22/Jul/2026:16:43:04.246181;22/Jul/2026:16:43:05.305746;22/Jul/2026:16:43:04.260171,1.0836;0.7274;1.1090;0.1014;1.1798,bytes=501934467-502851697;bytes=579904055-580817981;bytes=544966381-545071619;bytes=779274127-780157420;bytes=555750335-556651999,832d773b;31ef620d;8b391204;929670e1;c20ed4d7
2,5,197,success,None,22/Jul/2026:16:43:05.396269,22/Jul/2026:16:43:06.281764,0.8855,6,22/Jul/2026:16:43:05.305746;22/Jul/2026:16:43:04.260171;22/Jul/2026:16:43:05.306996;22/Jul/2026:16:43:04.256718;22/Jul/2026:16:43:05.307481;22/Jul/2026:16:43:04.608657,0.1014;1.1798;0.6785;1.7307;0.6801;1.3940,bytes=779274127-780157420;bytes=555750335-556651999;bytes=793999663-794095038;bytes=552830569-552928218;bytes=798049574-798125793;bytes=588740465-589628498,929670e1;c20ed4d7;57d163e5;9f81ef33;d95b19e2;3bafd37c
2,5,216,success,None,22/Jul/2026:16:43:05.978106,22/Jul/2026:16:43:06.515179,0.5371,10,22/Jul/2026:16:43:05.306996;22/Jul/2026:16:43:04.256718;22/Jul/2026:16:43:05.307481;22/Jul/2026:16:43:04.608657;22/Jul/2026:16:43:04.250987;22/Jul/2026:16:43:05.978885;22/Jul/2026:16:43:05.979576;22/Jul/2026:16:43:05.980121;22/Jul/2026:16:43:06.283047;22/Jul/2026:16:43:05.397066,0.6785;1.7307;0.6801;1.3940;2.0415;0.3161;0.3244;0.3319;0.0324;0.9186,bytes=793999663-794095038;bytes=552830569-552928218;bytes=798049574-798125793;bytes=588740465-589628498;bytes=548884257-548979988;bytes=884707907-884805069;bytes=889863791-890744408;bytes=895784179-896684115;bytes=945938518-946040321;bytes=805192595-806093744,57d163e5;9f81ef33;d95b19e2;3bafd37c;8c57a224;07722d9a;e0a9b90f;545f828d;be24c45e;1c2a879f
2,5,231,success,None,22/Jul/2026:16:43:06.282095,22/Jul/2026:16:43:06.552026,0.2699,12,22/Jul/2026:16:43:04.250987;22/Jul/2026:16:43:05.978885;22/Jul/2026:16:43:05.979576;22/Jul/2026:16:43:05.980121;22/Jul/2026:16:43:06.283047;22/Jul/2026:16:43:05.397066;22/Jul/2026:16:43:04.252378;22/Jul/2026:16:43:06.517151;22/Jul/2026:16:43:04.608592;22/Jul/2026:16:43:04.253142;22/Jul/2026:16:43:04.608320;22/Jul/2026:16:43:06.284008,2.0415;0.3161;0.3244;0.3319;0.0324;0.9186;2.2707;0.0081;1.9173;2.2751;1.9225;0.2630,bytes=548884257-548979988;bytes=884707907-884805069;bytes=889863791-890744408;bytes=895784179-896684115;bytes=945938518-946040321;bytes=805192595-806093744;bytes=552680388-552758884;bytes=1044733553-1044835500;bytes=587835498-588740464;bytes=552758885-552830568;bytes=589628499-589797897;bytes=952136963-953072214,8c57a224;07722d9a;e0a9b90f;545f828d;be24c45e;1c2a879f;fbbc7703;a981f209;9c3a3a8f;eb72a53c;07672578;ed1c4731
2,5,268,success,None,22/Jul/2026:16:43:06.552351,22/Jul/2026:16:43:07.495901,0.9435,5,22/Jul/2026:16:43:06.518461;22/Jul/2026:16:43:04.608051;22/Jul/2026:16:43:06.519011;22/Jul/2026:16:43:06.518594;22/Jul/2026:16:43:05.305820,0.0427;1.9568;0.0531;0.0668;1.2878,bytes=1048931149-1049125980;bytes=583873172-584776567;bytes=1053170919-1053379429;bytes=1052972426-1053068010;bytes=780157421-781065422,9fba6021;6b503778;e71bc036;cb082831;453f3354
