maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies
1,5,208,success,None,22/Jul/2026:14:29:21.071402,22/Jul/2026:14:29:22.088371,1.0170,1,22/Jul/2026:14:29:18.768715,2.3173,bytes=631093221-631998024
1,5,343,success,None,22/Jul/2026:14:29:22.088675,22/Jul/2026:14:29:22.718478,0.6298,1,22/Jul/2026:14:29:18.091054,4.0075,bytes=601769757-601842240
1,5,378,success,None,22/Jul/2026:14:29:22.718788,22/Jul/2026:14:29:23.615389,0.8966,4,22/Jul/2026:14:29:22.089923;22/Jul/2026:14:29:22.089860;22/Jul/2026:14:29:21.072551;22/Jul/2026:14:29:20.268335,0.6355;0.6381;1.6742;2.4920,bytes=1410999812-1411903763;bytes=1410079752-1410999811;bytes=854584028-855488347;bytes=816003754-816880328
1,5,390,success,None,22/Jul/2026:14:29:23.615703,22/Jul/2026:14:29:24.437295,0.8216,2,22/Jul/2026:14:29:22.089788;22/Jul/2026:14:29:22.089243,1.5478;1.5784,bytes=1409201551-1410079751;bytes=1405849072-1406767120
1,5,427,success,None,22/Jul/2026:14:29:24.437590,22/Jul/2026:14:29:24.901015,0.4634,2,22/Jul/2026:14:29:23.616686;22/Jul/2026:14:29:22.719559,0.8336;1.7380,bytes=1602896222-1603791648;bytes=1552845261-1553076050
2,5,5,success,None,22/Jul/2026:14:29:24.902216,22/Jul/2026:14:29:25.565320,0.6631,2,22/Jul/2026:14:29:13.986760;22/Jul/2026:14:29:24.903719,10.9227;0.1055,bytes=52595390-53481900;bytes=32136928-32236123
2,5,13,success,None,22/Jul/2026:14:29:24.902397,22/Jul/2026:14:29:25.762917,0.8605,2,22/Jul/2026:14:29:13.986760;22/Jul/2026:14:29:24.903719,10.9227;0.1055,bytes=52595390-53481900;bytes=32136928-32236123
2,5,46,success,None,22/Jul/2026:14:29:25.763242,22/Jul/2026:14:29:26.415888,0.6526,0,None,None,None
2,5,31,success,None,22/Jul/2026:14:29:25.565626,22/Jul/2026:14:29:26.419261,0.8536,0,None,None,None
2,5,119,success,None,22/Jul/2026:14:29:26.416196,22/Jul/2026:14:29:27.235298,0.8191,2,22/Jul/2026:14:29:19.620922;22/Jul/2026:14:29:26.416985,6.8074;0.0495,bytes=706012651-706944707;bytes=487785452-487875761
2,5,132,success,None,22/Jul/2026:14:29:26.419571,22/Jul/2026:14:29:27.244129,0.8246,3,22/Jul/2026:14:29:19.620922;22/Jul/2026:14:29:26.416985;22/Jul/2026:14:29:26.418093,6.8074;0.0495;0.8250,bytes=706012651-706944707;bytes=487785452-487875761;bytes=491929019-492812314
2,5,145,success,None,22/Jul/2026:14:29:27.235605,22/Jul/2026:14:29:28.006567,0.7710,4,22/Jul/2026:14:29:26.418093;22/Jul/2026:14:29:26.419746;22/Jul/2026:14:29:18.090992;22/Jul/2026:14:29:27.237285,0.8250;0.8285;9.1812;0.0621,bytes=491929019-492812314;bytes=496031908-496918350;bytes=601683451-601769756;bytes=601842241-601944561
2,5,154,success,None,22/Jul/2026:14:29:27.244444,22/Jul/2026:14:29:28.069494,0.8250,7,22/Jul/2026:14:29:26.419746;22/Jul/2026:14:29:18.090992;22/Jul/2026:14:29:27.237285;22/Jul/2026:14:29:25.567503;22/Jul/2026:14:29:26.416868;22/Jul/2026:14:29:26.417902;22/Jul/2026:14:29:28.009074,0.8285;9.1812;0.0621;2.4451;1.5966;1.6184;0.0323,bytes=496031908-496918350;bytes=601683451-601769756;bytes=601842241-601944561;bytes=137856974-137941086;bytes=486618732-487518383;bytes=491831185-491929018;bytes=720597324-720699573
2,5,173,success,None,22/Jul/2026:14:29:28.006885,22/Jul/2026:14:29:28.616584,0.6097,7,22/Jul/2026:14:29:25.567503;22/Jul/2026:14:29:26.416868;22/Jul/2026:14:29:26.417902;22/Jul/2026:14:29:28.009074;22/Jul/2026:14:29:27.237684;22/Jul/2026:14:29:28.009342;22/Jul/2026:14:29:28.008529,2.4451;1.5966;1.6184;0.0323;0.8385;0.0702;0.0906,bytes=137856974-137941086;bytes=486618732-487518383;bytes=491831185-491929018;bytes=720597324-720699573;bytes=604764783-605660113;bytes=720699574-720866020;bytes=712469711-712676158
2,5,200,success,None,22/Jul/2026:14:29:28.069828,22/Jul/2026:14:29:28.751402,0.6816,3,22/Jul/2026:14:29:27.237684;22/Jul/2026:14:29:28.009342;22/Jul/2026:14:29:28.008529,0.8385;0.0702;0.0906,bytes=604764783-605660113;bytes=720699574-720866020;bytes=712469711-712676158
2,5,343,success,None,22/Jul/2026:14:29:28.751705,22/Jul/2026:14:29:29.432402,0.6807,1,22/Jul/2026:14:29:26.418307,2.3397,bytes=494586520-495482628
2,5,208,success,None,22/Jul/2026:14:29:28.616859,22/Jul/2026:14:29:29.483220,0.8664,5,22/Jul/2026:14:29:26.418307;22/Jul/2026:14:29:28.008304;22/Jul/2026:14:29:28.617316;22/Jul/2026:14:29:28.008473;22/Jul/2026:14:29:28.070364,2.3397;1.4314;0.8267;1.4392;1.3824,bytes=494586520-495482628;bytes=709330376-710223011;bytes=848590222-849489239;bytes=712265653-712469710;bytes=816003754-816880328
2,5,378,success,None,22/Jul/2026:14:29:29.432715,22/Jul/2026:14:29:30.274943,0.8422,10,22/Jul/2026:14:29:28.008304;22/Jul/2026:14:29:28.617316;22/Jul/2026:14:29:28.008473;22/Jul/2026:14:29:28.070364;22/Jul/2026:14:29:29.434040;22/Jul/2026:14:29:28.752680;22/Jul/2026:14:29:28.009498;22/Jul/2026:14:29:29.433533;22/Jul/2026:14:29:28.752030;22/Jul/2026:14:29:28.752144,1.4314;0.8267;1.4392;1.3824;0.0591;0.7416;1.4865;0.0645;0.7668;0.7682,bytes=709330376-710223011;bytes=848590222-849489239;bytes=712265653-712469710;bytes=816003754-816880328;bytes=1556909516-1557109294;bytes=1409201551-1410079751;bytes=724764464-724874257;bytes=1552618729-1552841604;bytes=1404093585-1404967371;bytes=1404967372-1405845415
2,5,390,success,None,22/Jul/2026:14:29:29.483544,22/Jul/2026:14:29:30.376567,0.8930,9,22/Jul/2026:14:29:29.434040;22/Jul/2026:14:29:28.752680;22/Jul/2026:14:29:28.009498;22/Jul/2026:14:29:29.433533;22/Jul/2026:14:29:28.752030;22/Jul/2026:14:29:28.752144;22/Jul/2026:14:29:28.752743;22/Jul/2026:14:29:28.618469;22/Jul/2026:14:29:29.484199,0.0591;0.7416;1.4865;0.0645;0.7668;0.7682;1.5378;1.6830;0.8205,bytes=1556909516-1557109294;bytes=1409201551-1410079751;bytes=724764464-724874257;bytes=1552618729-1552841604;bytes=1404093585-1404967371;bytes=1404967372-1405845415;bytes=1410079752-1410999811;bytes=859807911-859906908;bytes=1600420563-1601341925
2,5,427,success,None,22/Jul/2026:14:29:30.275239,22/Jul/2026:14:29:30.931185,0.6559,3,22/Jul/2026:14:29:28.752743;22/Jul/2026:14:29:28.618469;22/Jul/2026:14:29:29.484199,1.5378;1.6830;0.8205,bytes=1410079752-1410999811;bytes=859807911-859906908;bytes=1600420563-1601341925
3,5,13,success,None,22/Jul/2026:14:29:30.945484,22/Jul/2026:14:29:31.815733,0.8702,6,22/Jul/2026:14:29:24.438204;22/Jul/2026:14:29:22.089722;22/Jul/2026:14:29:24.438419;22/Jul/2026:14:29:30.948874;22/Jul/2026:14:29:29.434096;22/Jul/2026:14:29:28.752490,6.5256;8.8744;6.5375;0.0536;1.5877;2.2829,bytes=1754602557-1755511310;bytes=1408305570-1409201550;bytes=1759739320-1759866793;bytes=64031676-64101355;bytes=1557109295-1557323178;bytes=1411903764-1412025890
3,5,5,success,None,22/Jul/2026:14:29:30.945302,22/Jul/2026:14:29:32.004335,1.0590,7,22/Jul/2026:14:29:24.438204;22/Jul/2026:14:29:22.089722;22/Jul/2026:14:29:24.438419;22/Jul/2026:14:29:30.948874;22/Jul/2026:14:29:29.434096;22/Jul/2026:14:29:28.752490;22/Jul/2026:14:29:30.275590,6.5256;8.8744;6.5375;0.0536;1.5877;2.2829;1.5484,bytes=1754602557-1755511310;bytes=1408305570-1409201550;bytes=1759739320-1759866793;bytes=64031676-64101355;bytes=1557109295-1557323178;bytes=1411903764-1412025890;bytes=1751952448-1752823675
3,5,31,success,None,22/Jul/2026:14:29:30.945622,22/Jul/2026:14:29:32.216201,1.2706,9,22/Jul/2026:14:29:24.438204;22/Jul/2026:14:29:22.089722;22/Jul/2026:14:29:24.438419;22/Jul/2026:14:29:30.948874;22/Jul/2026:14:29:29.434096;22/Jul/2026:14:29:28.752490;22/Jul/2026:14:29:30.275590;22/Jul/2026:14:29:31.818159;22/Jul/2026:14:29:30.276118,6.5256;8.8744;6.5375;0.0536;1.5877;2.2829;1.5484;0.1924;1.7359,bytes=1754602557-1755511310;bytes=1408305570-1409201550;bytes=1759739320-1759866793;bytes=64031676-64101355;bytes=1557109295-1557323178;bytes=1411903764-1412025890;bytes=1751952448-1752823675;bytes=202391546-202490488;bytes=1756152369-1757046589
3,5,46,success,None,22/Jul/2026:14:29:31.816017,22/Jul/2026:14:29:32.739333,0.9233,3,22/Jul/2026:14:29:30.275590;22/Jul/2026:14:29:31.818159;22/Jul/2026:14:29:30.276118,1.5484;0.1924;1.7359,bytes=1751952448-1752823675;bytes=202391546-202490488;bytes=1756152369-1757046589
3,5,119,success,None,22/Jul/2026:14:29:32.004637,22/Jul/2026:14:29:32.999130,0.9945,5,22/Jul/2026:14:29:31.818159;22/Jul/2026:14:29:30.276118;22/Jul/2026:14:29:31.817185;22/Jul/2026:14:29:29.433984;22/Jul/2026:14:29:32.741456,0.1924;1.7359;0.9318;3.3179;0.0238,bytes=202391546-202490488;bytes=1756152369-1757046589;bytes=193413919-194301900;bytes=1555774158-1556680458;bytes=605660114-605746078
3,5,132,success,None,22/Jul/2026:14:29:32.216594,22/Jul/2026:14:29:33.068674,0.8521,7,22/Jul/2026:14:29:31.817185;22/Jul/2026:14:29:29.433984;22/Jul/2026:14:29:32.741456;22/Jul/2026:14:29:31.817132;22/Jul/2026:14:29:28.618919;22/Jul/2026:14:29:32.741083;22/Jul/2026:14:29:32.740961,0.9318;3.3179;0.0238;1.1916;4.3950;0.2751;0.2787,bytes=193413919-194301900;bytes=1555774158-1556680458;bytes=605660114-605746078;bytes=192509923-193413918;bytes=863925524-864038540;bytes=598113515-599002197;bytes=601683451-601769756
3,5,154,success,None,22/Jul/2026:14:29:32.999480,22/Jul/2026:14:29:33.639920,0.6404,4,22/Jul/2026:14:29:31.817132;22/Jul/2026:14:29:28.618919;22/Jul/2026:14:29:32.741083;22/Jul/2026:14:29:32.740961,1.1916;4.3950;0.2751;0.2787,bytes=192509923-193413918;bytes=863925524-864038540;bytes=598113515-599002197;bytes=601683451-601769756
3,5,173,success,None,22/Jul/2026:14:29:33.069001,22/Jul/2026:14:29:33.964923,0.8959,3,22/Jul/2026:14:29:32.006563;22/Jul/2026:14:29:33.069732;22/Jul/2026:14:29:33.069649,1.6388;0.5757;0.5856,bytes=493692249-494586519;bytes=706012651-706944707;bytes=705115942-706012650
3,5,145,success,None,22/Jul/2026:14:29:32.739645,22/Jul/2026:14:29:34.357602,1.6179,13,22/Jul/2026:14:29:31.817185;22/Jul/2026:14:29:29.433984;22/Jul/2026:14:29:32.741456;22/Jul/2026:14:29:31.817132;22/Jul/2026:14:29:28.618919;22/Jul/2026:14:29:32.741083;22/Jul/2026:14:29:32.740961;22/Jul/2026:14:29:32.006563;22/Jul/2026:14:29:33.069732;22/Jul/2026:14:29:33.069649;22/Jul/2026:14:29:33.641411;22/Jul/2026:14:29:32.006104;22/Jul/2026:14:29:33.069927,0.9318;3.3179;0.0238;1.1916;4.3950;0.2751;0.2787;1.6388;0.5757;0.5856;0.3343;1.9893;0.9255,bytes=193413919-194301900;bytes=1555774158-1556680458;bytes=605660114-605746078;bytes=192509923-193413918;bytes=863925524-864038540;bytes=598113515-599002197;bytes=601683451-601769756;bytes=493692249-494586519;bytes=706012651-706944707;bytes=705115942-706012650;bytes=826966467-827061254;bytes=490551933-491453399;bytes=708221434-708454506
3,5,343,success,None,22/Jul/2026:14:29:34.357901,22/Jul/2026:14:29:34.622245,0.2643,4,22/Jul/2026:14:29:32.740657;22/Jul/2026:14:29:32.740589;22/Jul/2026:14:29:33.966451;22/Jul/2026:14:29:33.966230,1.6262;1.6263;0.4016;0.4079,bytes=595041887-595930603;bytes=594148802-595041886;bytes=855671366-855866604;bytes=851863528-852755619
3,5,200,success,None,22/Jul/2026:14:29:33.640234,22/Jul/2026:14:29:34.626057,0.9858,10,22/Jul/2026:14:29:32.006563;22/Jul/2026:14:29:33.069732;22/Jul/2026:14:29:33.069649;22/Jul/2026:14:29:33.641411;22/Jul/2026:14:29:32.006104;22/Jul/2026:14:29:33.069927;22/Jul/2026:14:29:32.740657;22/Jul/2026:14:29:32.740589;22/Jul/2026:14:29:33.966451;22/Jul/2026:14:29:33.966230,1.6388;0.5757;0.5856;0.3343;1.9893;0.9255;1.6262;1.6263;0.4016;0.4079,bytes=493692249-494586519;bytes=706012651-706944707;bytes=705115942-706012650;bytes=826966467-827061254;bytes=490551933-491453399;bytes=708221434-708454506;bytes=595041887-595930603;bytes=594148802-595041886;bytes=855671366-855866604;bytes=851863528-852755619
3,5,208,success,None,22/Jul/2026:14:29:33.965235,22/Jul/2026:14:29:34.808956,0.8437,8,22/Jul/2026:14:29:33.641411;22/Jul/2026:14:29:32.006104;22/Jul/2026:14:29:33.069927;22/Jul/2026:14:29:32.740657;22/Jul/2026:14:29:32.740589;22/Jul/2026:14:29:33.966451;22/Jul/2026:14:29:33.966230;22/Jul/2026:14:29:32.005833,0.3343;1.9893;0.9255;1.6262;1.6263;0.4016;0.4079;2.6666,bytes=826966467-827061254;bytes=490551933-491453399;bytes=708221434-708454506;bytes=595041887-595930603;bytes=594148802-595041886;bytes=855671366-855866604;bytes=851863528-852755619;bytes=487875762-488767977
3,5,378,success,None,22/Jul/2026:14:29:34.622555,22/Jul/2026:14:29:35.514165,0.8916,4,22/Jul/2026:14:29:32.005833;22/Jul/2026:14:29:33.641619;22/Jul/2026:14:29:33.641918;22/Jul/2026:14:29:34.624246,2.6666;1.1730;1.1773;0.2184,bytes=487875762-488767977;bytes=825149656-826059436;bytes=827353500-828260586;bytes=1554850651-1555774157
3,5,390,success,None,22/Jul/2026:14:29:34.626378,22/Jul/2026:14:29:35.521480,0.8951,4,22/Jul/2026:14:29:32.005833;22/Jul/2026:14:29:33.641619;22/Jul/2026:14:29:33.641918;22/Jul/2026:14:29:34.624246,2.6666;1.1730;1.1773;0.2184,bytes=487875762-488767977;bytes=825149656-826059436;bytes=827353500-828260586;bytes=1554850651-1555774157
3,5,427,success,None,22/Jul/2026:14:29:34.809268,22/Jul/2026:14:29:35.575559,0.7663,3,22/Jul/2026:14:29:33.641619;22/Jul/2026:14:29:33.641918;22/Jul/2026:14:29:34.624246,1.1730;1.1773;0.2184,bytes=825149656-826059436;bytes=827353500-828260586;bytes=1554850651-1555774157
