maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies
1,5,5,success,None,22/Jul/2026:14:29:13.309112,22/Jul/2026:14:29:13.986053,0.6769,0,None,None,None
1,5,13,success,None,22/Jul/2026:14:29:13.986394,22/Jul/2026:14:29:14.781383,0.7950,1,22/Jul/2026:14:29:13.311359,0.6983,bytes=24234185-25131850
1,5,31,success,None,22/Jul/2026:14:29:14.781681,22/Jul/2026:14:29:15.775126,0.9934,5,22/Jul/2026:14:29:13.311521;22/Jul/2026:14:29:13.987881;22/Jul/2026:14:29:13.311014;22/Jul/2026:14:29:13.987420;22/Jul/2026:14:29:14.782460,1.4772;0.8146;1.5035;0.8403;0.0560,bytes=26021338-26949704;bytes=58353066-59231727;bytes=23833273-24032813;bytes=60118164-60193157;bytes=129600872-129793215
1,5,46,success,None,22/Jul/2026:14:29:15.775413,22/Jul/2026:14:29:16.396883,0.6215,3,22/Jul/2026:14:29:14.782747;22/Jul/2026:14:29:15.776255;22/Jul/2026:14:29:14.783333,1.0103;0.0230;1.0403,bytes=130690295-131568698;bytes=194301901-194391279;bytes=137758750-137856973
1,5,119,success,None,22/Jul/2026:14:29:16.397187,22/Jul/2026:14:29:17.444153,1.0470,2,22/Jul/2026:14:29:15.777083;22/Jul/2026:14:29:14.782865,0.6290;1.6423,bytes=202135189-202210891;bytes=132484980-133389993
1,5,132,success,None,22/Jul/2026:14:29:17.444444,22/Jul/2026:14:29:18.089022,0.6446,6,22/Jul/2026:14:29:16.397762;22/Jul/2026:14:29:16.398632;22/Jul/2026:14:29:15.776413;22/Jul/2026:14:29:16.397953;22/Jul/2026:14:29:17.446171;22/Jul/2026:14:29:17.446073,1.0552;1.0592;1.6815;1.0712;0.0266;0.0344,bytes=485708228-486618731;bytes=491729511-491831184;bytes=191620225-192509922;bytes=487785452-487875761;bytes=552758885-552830568;bytes=548979989-549086862
1,5,145,success,None,22/Jul/2026:14:29:18.089328,22/Jul/2026:14:29:18.767425,0.6781,6,22/Jul/2026:14:29:17.445226;22/Jul/2026:14:29:17.446436;22/Jul/2026:14:29:15.776517;22/Jul/2026:14:29:16.398016;22/Jul/2026:14:29:17.445973;22/Jul/2026:14:29:17.446026,0.6529;0.6531;2.3238;1.7024;0.6664;0.6735,bytes=544681179-544843485;bytes=550886410-551793790;bytes=193413919-194301900;bytes=491453400-491597571;bytes=547857233-548739814;bytes=548884257-548979988
1,5,154,success,None,22/Jul/2026:14:29:18.767729,22/Jul/2026:14:29:19.620042,0.8523,2,22/Jul/2026:14:29:18.091305;22/Jul/2026:14:29:17.444784,0.6856;1.3326,bytes=600801981-601683450;bytes=536999822-537891138
1,5,173,success,None,22/Jul/2026:14:29:19.620347,22/Jul/2026:14:29:20.267531,0.6472,1,22/Jul/2026:14:29:15.776731,3.8521,bytes=198316801-198387229
1,5,200,success,None,22/Jul/2026:14:29:20.267838,22/Jul/2026:14:29:21.071116,0.8033,2,22/Jul/2026:14:29:19.620850;22/Jul/2026:14:29:14.782258,0.6537;5.5015,bytes=705115942-706012650;bytes=127379383-128302428
