maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency
1,2,21,success,None,28/Jul/2026:13:11:58.614620,28/Jul/2026:13:11:59.219281,0.6047
1,2,28,success,None,28/Jul/2026:13:11:59.219353,28/Jul/2026:13:11:59.307869,0.0885
1,2,74,success,None,28/Jul/2026:13:11:59.307900,28/Jul/2026:13:11:59.402030,0.0941
1,2,81,success,None,28/Jul/2026:13:11:59.402063,28/Jul/2026:13:12:00.136458,0.7344
1,2,109,success,None,28/Jul/2026:13:12:00.136521,28/Jul/2026:13:12:00.850871,0.7144
1,2,147,success,None,28/Jul/2026:13:12:00.850926,28/Jul/2026:13:12:01.189310,0.3384
1,2,160,success,None,28/Jul/2026:13:12:01.189384,28/Jul/2026:13:12:01.553085,0.3637
1,2,178,success,None,28/Jul/2026:13:12:01.553138,28/Jul/2026:13:12:01.902849,0.3497
1,2,211,success,None,28/Jul/2026:13:12:01.902906,28/Jul/2026:13:12:02.633081,0.7302
1,2,262,success,None,28/Jul/2026:13:12:02.633151,28/Jul/2026:13:12:03.144812,0.5117
1,2,267,success,None,28/Jul/2026:13:12:03.144885,28/Jul/2026:13:12:03.512174,0.3673
1,2,276,success,None,28/Jul/2026:13:12:03.512248,28/Jul/2026:13:12:03.836662,0.3244
1,2,299,success,None,28/Jul/2026:13:12:03.836722,28/Jul/2026:13:12:04.418951,0.5822
1,2,345,success,None,28/Jul/2026:13:12:04.419022,28/Jul/2026:13:12:04.787722,0.3687
1,2,355,success,None,28/Jul/2026:13:12:04.787770,28/Jul/2026:13:12:05.098795,0.3110
1,2,368,success,None,28/Jul/2026:13:12:05.098848,28/Jul/2026:13:12:05.724270,0.6254
1,2,387,success,None,28/Jul/2026:13:12:05.724324,28/Jul/2026:13:12:06.209893,0.4856
1,2,408,success,None,28/Jul/2026:13:12:06.209965,28/Jul/2026:13:12:06.808443,0.5985
1,2,411,success,None,28/Jul/2026:13:12:06.808508,28/Jul/2026:13:12:07.349686,0.5412
1,2,420,success,None,28/Jul/2026:13:12:07.349744,28/Jul/2026:13:12:08.128390,0.7786
