maxWorkers,chunkSize,StartIndex,Status,Error,EndClock,Latency
1,5,27,success,None,21/Jul/2026:10:58:46.529326,4.994084000005387
1,5,70,success,None,21/Jul/2026:10:58:52.708946,6.1778494579775725
1,5,134,success,None,21/Jul/2026:10:58:55.813391,3.102582708001137
1,5,184,success,None,21/Jul/2026:10:59:00.351205,4.537410958000692
1,5,203,success,None,21/Jul/2026:10:59:04.526189,4.173075040976983
1,5,221,success,None,21/Jul/2026:10:59:09.983781,5.456563499988988
1,5,237,success,None,21/Jul/2026:10:59:13.712037,3.727447500015842
1,5,297,success,None,21/Jul/2026:10:59:19.637698,5.9246604579966515
1,5,361,success,None,21/Jul/2026:10:59:24.928889,5.289402416994562
1,5,407,success,None,21/Jul/2026:10:59:28.007240,3.077951374987606
2,5,27,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:28.885337,0.8748085830011405
2,5,70,failed,Error -3 while decompressing data: incorrect header check,21/Jul/2026:10:59:28.941685,0.9308242079860065
2,5,184,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:29.169513,0.2276642500073649
2,5,134,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:30.104634,1.2189582500141114
2,5,221,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:30.898197,0.7923745420121122
2,5,203,failed,Error -3 while decompressing data: incorrect header check,21/Jul/2026:10:59:31.356396,2.186709207977401
2,5,237,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:32.199856,1.3012864159827586
2,5,361,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:33.756825,1.5560778329963796
2,5,297,failed,Error -3 while decompressing data: incorrect header check,21/Jul/2026:10:59:33.859051,2.5017862920067273
2,5,407,success,None,21/Jul/2026:10:59:37.711134,3.9535700830165297
5,5,70,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:39.219970,1.5055328749876935
5,5,203,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:39.316460,1.6015816669969354
5,5,134,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:39.413154,1.6985728750005364
5,5,27,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:39.447891,1.7337705839890987
5,5,184,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:39.623932,1.909179749985924
5,5,237,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:39.993717,0.677066250005737
5,5,361,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:40.488633,1.0402850420214236
5,5,407,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:41.143728,1.5195371250156313
5,5,221,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:41.429220,2.208915875002276
5,5,297,failed,Error -3 while decompressing data: incorrect header check,21/Jul/2026:10:59:41.590630,2.177269709005486
10,5,27,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:42.762719,1.170581874990603
10,5,221,failed,Error -5 while decompressing data: incomplete or truncated stream,21/Jul/2026:10:59:43.262929,1.6697806250012945
