maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies
2,5,160,success,None,22/Jul/2026:15:07:44.519837,22/Jul/2026:15:07:45.249563,0.7297,2,22/Jul/2026:15:07:44.499894;22/Jul/2026:15:07:37.120331,0.0350;7.4163,bytes=560916005-561010763;bytes=815114827-816003753
2,5,135,success,None,22/Jul/2026:15:07:44.498214,22/Jul/2026:15:07:45.282412,0.7842,6,22/Jul/2026:15:07:43.650381;22/Jul/2026:15:07:44.499894;22/Jul/2026:15:07:37.120331;22/Jul/2026:15:07:44.500584;22/Jul/2026:15:07:45.252161;22/Jul/2026:15:07:43.649445,0.8541;0.0350;7.4163;0.7573;0.0077;1.6133,bytes=336888542-336987888;bytes=560916005-561010763;bytes=815114827-816003753;bytes=565244006-565446215;bytes=769788690-769898910;bytes=329887366-330775036
2,5,184,success,None,22/Jul/2026:15:07:45.249869,22/Jul/2026:15:07:45.971029,0.7212,6,22/Jul/2026:15:07:44.500584;22/Jul/2026:15:07:45.252161;22/Jul/2026:15:07:43.649445;22/Jul/2026:15:07:45.252222;22/Jul/2026:15:07:45.250641;22/Jul/2026:15:07:45.250522,0.7573;0.0077;1.6133;0.0376;0.0615;0.0813,bytes=565244006-565446215;bytes=769788690-769898910;bytes=329887366-330775036;bytes=769898911-770005745;bytes=757091713-757182620;bytes=753089956-753281708
2,5,200,success,None,22/Jul/2026:15:07:45.282657,22/Jul/2026:15:07:46.294865,1.0122,7,22/Jul/2026:15:07:45.252222;22/Jul/2026:15:07:45.250641;22/Jul/2026:15:07:45.250522;22/Jul/2026:15:07:45.251645;22/Jul/2026:15:07:45.973063;22/Jul/2026:15:07:45.972650;22/Jul/2026:15:07:44.499143,0.0376;0.0615;0.0813;0.7289;0.0290;0.0305;1.5043,bytes=769898911-770005745;bytes=757091713-757182620;bytes=753089956-753281708;bytes=762851148-763738162;bytes=933791249-933880744;bytes=929822322-929918593;bytes=553024807-553927310
2,5,234,success,None,22/Jul/2026:15:07:46.295115,22/Jul/2026:15:07:46.708531,0.4134,1,22/Jul/2026:15:07:45.283265,1.0380,bytes=816880329-817800474
2,5,225,success,None,22/Jul/2026:15:07:45.971313,22/Jul/2026:15:07:46.940646,0.9693,7,22/Jul/2026:15:07:45.251645;22/Jul/2026:15:07:45.973063;22/Jul/2026:15:07:45.972650;22/Jul/2026:15:07:44.499143;22/Jul/2026:15:07:45.283265;22/Jul/2026:15:07:45.972071;22/Jul/2026:15:07:45.972600,0.7289;0.0290;0.0305;1.5043;1.0380;0.7460;0.7462,bytes=762851148-763738162;bytes=933791249-933880744;bytes=929822322-929918593;bytes=553024807-553927310;bytes=816880329-817800474;bytes=922113374-922232210;bytes=926145716-926235179
2,5,268,success,None,22/Jul/2026:15:07:46.708775,22/Jul/2026:15:07:47.607051,0.8983,3,22/Jul/2026:15:07:45.972071;22/Jul/2026:15:07:45.972600;22/Jul/2026:15:07:46.710403,0.7460;0.7462;0.2399,bytes=922113374-922232210;bytes=926145716-926235179;bytes=1106775257-1106992725
2,5,319,success,None,22/Jul/2026:15:07:46.940931,22/Jul/2026:15:07:47.609172,0.6682,1,22/Jul/2026:15:07:46.710403,0.2399,bytes=1106775257-1106992725
2,5,326,success,None,22/Jul/2026:15:07:47.607315,22/Jul/2026:15:07:48.416012,0.8087,6,22/Jul/2026:15:07:45.250212;22/Jul/2026:15:07:45.972867;22/Jul/2026:15:07:46.296299;22/Jul/2026:15:07:46.710522;22/Jul/2026:15:07:47.610132;22/Jul/2026:15:07:47.608047,2.3637;1.6438;1.3319;0.9215;0.0564;0.0644,bytes=749301183-750203658;bytes=928026001-928926360;bytes=962868608-963077046;bytes=1110801264-1110920774;bytes=1349810168-1349907953;bytes=1337916046-1338024173
2,5,348,success,None,22/Jul/2026:15:07:47.609442,22/Jul/2026:15:07:48.475578,0.8661,13,22/Jul/2026:15:07:45.250212;22/Jul/2026:15:07:45.972867;22/Jul/2026:15:07:46.296299;22/Jul/2026:15:07:46.710522;22/Jul/2026:15:07:47.610132;22/Jul/2026:15:07:47.608047;22/Jul/2026:15:07:46.941347;22/Jul/2026:15:07:46.296420;22/Jul/2026:15:07:46.941916;22/Jul/2026:15:07:47.610977;22/Jul/2026:15:07:47.609560;22/Jul/2026:15:07:47.608215;22/Jul/2026:15:07:47.607865,2.3637;1.6438;1.3319;0.9215;0.0564;0.0644;1.4878;2.1341;1.4899;0.8252;0.8278;0.8342;0.8347,bytes=749301183-750203658;bytes=928026001-928926360;bytes=962868608-963077046;bytes=1110801264-1110920774;bytes=1349810168-1349907953;bytes=1337916046-1338024173;bytes=1305294640-1306187919;bytes=966780863-966886278;bytes=1313228148-1313340578;bytes=1428604280-1428702704;bytes=1340729599-1341610184;bytes=1338024174-1338924156;bytes=1335846352-1336751401
2,5,360,success,None,22/Jul/2026:15:07:48.416266,22/Jul/2026:15:07:49.301687,0.8854,7,22/Jul/2026:15:07:46.941347;22/Jul/2026:15:07:46.296420;22/Jul/2026:15:07:46.941916;22/Jul/2026:15:07:47.610977;22/Jul/2026:15:07:47.609560;22/Jul/2026:15:07:47.608215;22/Jul/2026:15:07:47.607865,1.4878;2.1341;1.4899;0.8252;0.8278;0.8342;0.8347,bytes=1305294640-1306187919;bytes=966780863-966886278;bytes=1313228148-1313340578;bytes=1428604280-1428702704;bytes=1340729599-1341610184;bytes=1338024174-1338924156;bytes=1335846352-1336751401
3,5,17,success,None,22/Jul/2026:15:07:49.313744,22/Jul/2026:15:07:50.115282,0.8015,6,22/Jul/2026:15:07:44.499686;22/Jul/2026:15:07:48.416746;22/Jul/2026:15:07:49.315413;22/Jul/2026:15:07:48.417227;22/Jul/2026:15:07:44.499033;22/Jul/2026:15:07:49.316306,4.8326;0.9182;0.0238;0.9618;4.8908;0.0746,bytes=556825488-556996038;bytes=1475031752-1475921471;bytes=80537203-80633330;bytes=1478041720-1478154240;bytes=556652000-556736704;bytes=88844908-88943720
3,5,79,success,None,22/Jul/2026:15:07:49.314076,22/Jul/2026:15:07:50.377556,1.0635,6,22/Jul/2026:15:07:44.499686;22/Jul/2026:15:07:48.416746;22/Jul/2026:15:07:49.315413;22/Jul/2026:15:07:48.417227;22/Jul/2026:15:07:44.499033;22/Jul/2026:15:07:49.316306,4.8326;0.9182;0.0238;0.9618;4.8908;0.0746,bytes=556825488-556996038;bytes=1475031752-1475921471;bytes=80537203-80633330;bytes=1478041720-1478154240;bytes=556652000-556736704;bytes=88844908-88943720
3,5,49,success,None,22/Jul/2026:15:07:49.313918,22/Jul/2026:15:07:50.433174,1.1193,8,22/Jul/2026:15:07:44.499686;22/Jul/2026:15:07:48.416746;22/Jul/2026:15:07:49.315413;22/Jul/2026:15:07:48.417227;22/Jul/2026:15:07:44.499033;22/Jul/2026:15:07:49.316306;22/Jul/2026:15:07:45.283205;22/Jul/2026:15:07:50.116407,4.8326;0.9182;0.0238;0.9618;4.8908;0.0746;5.1091;0.2820,bytes=556825488-556996038;bytes=1475031752-1475921471;bytes=80537203-80633330;bytes=1478041720-1478154240;bytes=556652000-556736704;bytes=88844908-88943720;bytes=816003754-816880328;bytes=401381719-401515194
3,5,97,success,None,22/Jul/2026:15:07:50.115524,22/Jul/2026:15:07:51.122658,1.0071,5,22/Jul/2026:15:07:45.283205;22/Jul/2026:15:07:50.116407;22/Jul/2026:15:07:41.490335;22/Jul/2026:15:07:50.379030;22/Jul/2026:15:07:50.117982,5.1091;0.2820;8.9591;0.0721;0.3662,bytes=816003754-816880328;bytes=401381719-401515194;bytes=1427232675-1428131244;bytes=556740361-556825487;bytes=413529453-413613255
3,5,135,success,None,22/Jul/2026:15:07:50.377907,22/Jul/2026:15:07:51.355802,0.9779,5,22/Jul/2026:15:07:45.283205;22/Jul/2026:15:07:50.116407;22/Jul/2026:15:07:41.490335;22/Jul/2026:15:07:50.379030;22/Jul/2026:15:07:50.117982,5.1091;0.2820;8.9591;0.0721;0.3662,bytes=816003754-816880328;bytes=401381719-401515194;bytes=1427232675-1428131244;bytes=556740361-556825487;bytes=413529453-413613255
3,5,160,success,None,22/Jul/2026:15:07:50.433488,22/Jul/2026:15:07:51.522675,1.0892,9,22/Jul/2026:15:07:41.490335;22/Jul/2026:15:07:50.379030;22/Jul/2026:15:07:50.117982;22/Jul/2026:15:07:51.124003;22/Jul/2026:15:07:51.124107;22/Jul/2026:15:07:50.379679;22/Jul/2026:15:07:51.123709;22/Jul/2026:15:07:49.316082;22/Jul/2026:15:07:51.357281,8.9591;0.0721;0.3662;0.2390;0.2513;1.0012;0.2636;2.0718;0.0320,bytes=1427232675-1428131244;bytes=556740361-556825487;bytes=413529453-413613255;bytes=756191589-757091712;bytes=757490362-757708076;bytes=561010764-561223897;bytes=757091713-757182620;bytes=83688364-84596743;bytes=827061255-827170827
3,5,184,success,None,22/Jul/2026:15:07:51.122915,22/Jul/2026:15:07:52.187183,1.0643,10,22/Jul/2026:15:07:51.124003;22/Jul/2026:15:07:51.124107;22/Jul/2026:15:07:50.379679;22/Jul/2026:15:07:51.123709;22/Jul/2026:15:07:49.316082;22/Jul/2026:15:07:51.357281;22/Jul/2026:15:07:51.356611;22/Jul/2026:15:07:51.356725;22/Jul/2026:15:07:51.524171;22/Jul/2026:15:07:51.124057,0.2390;0.2513;1.0012;0.2636;2.0718;0.0320;0.1779;0.1876;0.0246;0.4330,bytes=756191589-757091712;bytes=757490362-757708076;bytes=561010764-561223897;bytes=757091713-757182620;bytes=83688364-84596743;bytes=827061255-827170827;bytes=816880329-817800474;bytes=818932860-819086860;bytes=926145716-926235179;bytes=757276058-757490361
3,5,225,success,None,22/Jul/2026:15:07:51.522955,22/Jul/2026:15:07:52.197207,0.6742,4,22/Jul/2026:15:07:51.356611;22/Jul/2026:15:07:51.356725;22/Jul/2026:15:07:51.524171;22/Jul/2026:15:07:51.124057,0.1779;0.1876;0.0246;0.4330,bytes=816880329-817800474;bytes=818932860-819086860;bytes=926145716-926235179;bytes=757276058-757490361
3,5,200,success,None,22/Jul/2026:15:07:51.356102,22/Jul/2026:15:07:52.224369,0.8683,11,22/Jul/2026:15:07:51.124003;22/Jul/2026:15:07:51.124107;22/Jul/2026:15:07:50.379679;22/Jul/2026:15:07:51.123709;22/Jul/2026:15:07:49.316082;22/Jul/2026:15:07:51.357281;22/Jul/2026:15:07:51.356611;22/Jul/2026:15:07:51.356725;22/Jul/2026:15:07:51.524171;22/Jul/2026:15:07:51.124057;22/Jul/2026:15:07:50.435388,0.2390;0.2513;1.0012;0.2636;2.0718;0.0320;0.1779;0.1876;0.0246;0.4330;1.7827,bytes=756191589-757091712;bytes=757490362-757708076;bytes=561010764-561223897;bytes=757091713-757182620;bytes=83688364-84596743;bytes=827061255-827170827;bytes=816880329-817800474;bytes=818932860-819086860;bytes=926145716-926235179;bytes=757276058-757490361;bytes=663352985-663542636
3,5,268,success,None,22/Jul/2026:15:07:52.197497,22/Jul/2026:15:07:52.875299,0.6778,6,22/Jul/2026:15:07:50.435388;22/Jul/2026:15:07:52.189476;22/Jul/2026:15:07:52.189955;22/Jul/2026:15:07:52.189093;22/Jul/2026:15:07:50.378978;22/Jul/2026:15:07:50.379582,1.7827;0.0387;0.0434;0.0761;1.8966;1.8992,bytes=663352985-663542636;bytes=966664809-966780862;bytes=970965958-971076046;bytes=962584545-962689839;bytes=556652000-556736704;bytes=558993545-559923493
3,5,319,success,None,22/Jul/2026:15:07:52.224681,22/Jul/2026:15:07:53.128575,0.9039,7,22/Jul/2026:15:07:52.189476;22/Jul/2026:15:07:52.189955;22/Jul/2026:15:07:52.189093;22/Jul/2026:15:07:50.378978;22/Jul/2026:15:07:50.379582;22/Jul/2026:15:07:50.380072;22/Jul/2026:15:07:52.876954,0.0387;0.0434;0.0761;1.8966;1.8992;2.5015;0.0218,bytes=966664809-966780862;bytes=970965958-971076046;bytes=962584545-962689839;bytes=556652000-556736704;bytes=558993545-559923493;bytes=565244006-565446215;bytes=1345685151-1345763079
3,5,234,success,None,22/Jul/2026:15:07:52.187451,22/Jul/2026:15:07:53.221164,1.0337,14,22/Jul/2026:15:07:50.435388;22/Jul/2026:15:07:52.189476;22/Jul/2026:15:07:52.189955;22/Jul/2026:15:07:52.189093;22/Jul/2026:15:07:50.378978;22/Jul/2026:15:07:50.379582;22/Jul/2026:15:07:50.380072;22/Jul/2026:15:07:52.876954;22/Jul/2026:15:07:52.876837;22/Jul/2026:15:07:52.877761;22/Jul/2026:15:07:50.379387;22/Jul/2026:15:07:50.116943;22/Jul/2026:15:07:50.380025;22/Jul/2026:15:07:52.876282,1.7827;0.0387;0.0434;0.0761;1.8966;1.8992;2.5015;0.0218;0.2639;0.2685;2.7670;3.0364;2.7856;0.2901,bytes=663352985-663542636;bytes=966664809-966780862;bytes=970965958-971076046;bytes=962584545-962689839;bytes=556652000-556736704;bytes=558993545-559923493;bytes=565244006-565446215;bytes=1345685151-1345763079;bytes=1341878793-1341989552;bytes=1350205142-1350429564;bytes=560825434-560916004;bytes=401707576-401802346;bytes=564130998-565046873;bytes=1337808242-1337916045
