maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies,HTTPS Byte Ranges,HTTPSRequestIDs
1,1,416,success,None,23/Jul/2026:13:13:29.779703,23/Jul/2026:13:13:29.779730,0.0000,0,None,None,None,None
1,1,80,success,None,23/Jul/2026:13:13:29.778293,23/Jul/2026:13:13:29.778326,0.0000,0,None,None,None,None
1,1,410,success,None,23/Jul/2026:13:13:29.779667,23/Jul/2026:13:13:29.779695,0.0000,0,None,None,None,None
1,1,259,success,None,23/Jul/2026:13:13:29.779085,23/Jul/2026:13:13:29.779115,0.0000,0,None,None,None,None
1,1,66,success,None,23/Jul/2026:13:13:29.778207,23/Jul/2026:13:13:29.778241,0.0000,0,None,None,None,None
1,1,47,success,None,23/Jul/2026:13:13:29.778071,23/Jul/2026:13:13:29.778109,0.0000,0,None,None,None,None
1,1,389,success,None,23/Jul/2026:13:13:29.779632,23/Jul/2026:13:13:29.779660,0.0000,0,None,None,None,None
1,1,240,success,None,23/Jul/2026:13:13:29.779041,23/Jul/2026:13:13:29.779073,0.0000,0,None,None,None,None
1,1,75,success,None,23/Jul/2026:13:13:29.778250,23/Jul/2026:13:13:29.778284,0.0000,0,None,None,None,None
1,1,25,success,None,23/Jul/2026:13:13:29.778015,23/Jul/2026:13:13:29.778061,0.0000,0,None,None,None,None
1,1,1,success,None,23/Jul/2026:13:13:29.777234,23/Jul/2026:13:13:29.777515,0.0003,0,None,None,None,None
1,1,379,success,None,23/Jul/2026:13:13:29.779596,23/Jul/2026:13:13:29.779624,0.0000,0,None,None,None,None
1,1,233,success,None,23/Jul/2026:13:13:29.779004,23/Jul/2026:13:13:29.779033,0.0000,0,None,None,None,None
1,1,377,success,None,23/Jul/2026:13:13:29.779561,23/Jul/2026:13:13:29.779589,0.0000,0,None,None,None,None
1,1,221,success,None,23/Jul/2026:13:13:29.778962,23/Jul/2026:13:13:29.778995,0.0000,0,None,None,None,None
1,1,351,success,None,23/Jul/2026:13:13:29.779525,23/Jul/2026:13:13:29.779553,0.0000,0,None,None,None,None
1,1,214,success,None,23/Jul/2026:13:13:29.778922,23/Jul/2026:13:13:29.778952,0.0000,0,None,None,None,None
1,1,425,success,None,23/Jul/2026:13:13:29.779773,23/Jul/2026:13:13:29.779801,0.0000,0,None,None,None,None
1,1,321,success,None,23/Jul/2026:13:13:29.779489,23/Jul/2026:13:13:29.779518,0.0000,0,None,None,None,None
1,1,437,success,None,23/Jul/2026:13:13:29.779844,23/Jul/2026:13:13:29.779872,0.0000,0,None,None,None,None
1,1,314,success,None,23/Jul/2026:13:13:29.779454,23/Jul/2026:13:13:29.779482,0.0000,0,None,None,None,None
1,1,209,success,None,23/Jul/2026:13:13:29.778871,23/Jul/2026:13:13:29.778909,0.0000,0,None,None,None,None
1,1,146,success,None,23/Jul/2026:13:13:29.778683,23/Jul/2026:13:13:29.778719,0.0000,0,None,None,None,None
